,city,cases
0,BOGOTA,425914
1,MEDELLIN,136020
2,CALI,89380
3,BARRANQUILLA,51074
4,CARTAGENA,38353
5,IBAGUE,27596
6,BUCARAMANGA,26177
7,CUCUTA,24363
8,VILLAVICENCIO,23398
9,NEIVA,21457
10,VALLEDUPAR,21292
11,BELLO,20609
12,MANIZALES,20594
13,PEREIRA,19493
14,MONTERIA,17313
15,SOLEDAD,16979
16,PASTO,16141
17,SOACHA,15633
18,SANTA MARTA,15600
19,ARMENIA,15276
20,ITAGUI,13260
21,POPAYAN,12162
22,ENVIGADO,11490
23,SINCELEJO,10863
24,FLORENCIA,10353
25,BARRANCABERMEJA,10306
26,FLORIDABLANCA,9456
27,TUNJA,7774
28,RIONEGRO,7052
29,DOSQUEBRADAS,6052
30,YOPAL,5637
31,PALMIRA,5463
32,RIOHACHA,5193
33,SOGAMOSO,5067
34,GIRON,4919
35,CALDAS,4874
36,ZIPAQUIRA,4821
37,TULUA,4749
38,SABANETA,4551
39,CHIA,4474
40,PIEDECUESTA,4402
41,DUITAMA,4278
42,APARTADO,4016
43,BUGA,3890
44,GIRARDOT,3802
45,MOSQUERA,3468
46,COPACABANA,3439
47,PITALITO,3423
48,FACATATIVA,3222
49,CAJICA,3193
50,QUIBDO,3188
51,MALAMBO,3087
52,CARTAGO,3034
53,BUENAVENTURA,3023
54,LETICIA,2927
55,LA ESTRELLA,2842
56,MAICAO,2813
57,SABANALARGA,2804
58,FUSAGASUGA,2790
59,JAMUNDI,2731
60,IPIALES,2692
61,LOS PATIOS,2609
62,ACACIAS,2533
63,YUMBO,2513
64,FUNZA,2482
65,MADRID,2478
66,VILLA DEL ROSARIO,2451
67,BARANOA,2435
68,AGUACHICA,2401
69,SAN ANDRES,2366
70,ARAUCA,2362
71,ESPINAL,2312
72,CALARCA,2277
73,CERETE,2156
74,TUMACO,2117
75,OCAÑA,2019
76,PUERTO COLOMBIA,1968
77,PUERTO GAITAN,1926
78,LA DORADA,1853
79,GALAPA,1807
80,LA CEJA,1770
81,CANDELARIA,1764
82,CIENAGA,1740
83,MOCOA,1736
84,GIRARDOTA,1717
85,SAN JOSE DEL GUAVIARE,1717
86,SANTA ROSA DE CABAL,1582
87,MARINILLA,1555
88,PAMPLONA,1555
89,GARZON,1554
90,VILLAMARIA,1552
91,MAGANGUE,1523
92,CHINCHINA,1446
93,GRANADA,1431
94,TURBO,1427
95,BARBOSA,1381
96,PUERTO BOYACA,1379
97,CAREPA,1359
98,LA UNION,1314
99,TURBACO,1308
100,GUARNE,1292
101,SAN JUAN DEL CESAR,1280
102,AGUSTIN CODAZZI,1262
103,CHIQUINQUIRA,1247
104,CARMEN DE VIBORAL,1229
105,MONTELIBANO,1225
106,SAHAGUN,1208
107,LORICA,1204
108,MELGAR,1181
109,SAN GIL,1149
110,PUERTO INIRIDA,1126
111,VILLANUEVA,1111
112,SANTANDER DE QUILICHAO,1109
113,TOCANCIPA,1086
114,EL CERRITO,1077
115,COROZAL,1073
116,ITUANGO,1059
117,LA VIRGINIA,1033
118,UBATE,1031
119,PUERTO ASIS,1016
120,SAN VICENTE DEL CAGUAN,983
121,SIBATE,959
122,SANTO TOMAS,926
123,CAUCASIA,910
124,CHIGORODO,909
125,SARAVENA,909
126,LA JAGUA DE IBIRICO,904
127,MITU,897
128,ZARZAL,890
129,PUERTO CARREÑO,887
130,COTA,883
131,SANTA ROSA DE OSOS,864
132,PUERTO BERRIO,863
133,PLANETA RICA,812
134,SEGOVIA,811
135,SABANAGRANDE,807
136,FUNDACION,790
137,FLORIDA,779
138,ROLDANILLO,755
139,PAIPA,755
140,MONTENEGRO,753
141,EL BANCO,733
142,SAN MARTIN,731
143,SANTUARIO,725
144,LA TEBAIDA,717
145,BOSCONIA,715
146,TIBU,715
147,FONSECA,710
148,RIOSUCIO,698
149,CHAPARRAL,683
150,CIENAGA DE ORO,681
151,BARRANCAS,679
152,CAMPOALEGRE,666
153,PLATO,660
154,SAN PEDRO,656
155,YARUMAL,644
156,CURUMANI,641
157,EL BAGRE,641
158,COGUA,636
159,VILLAGARZON,634
160,PALMAR DE VARELA,630
161,SANTA FE DE ANTIOQUIA,618
162,BURITICA,617
163,SINCE,611
164,QUIMBAYA,610
165,DON MATIAS,604
166,POLO NUEVO,595
167,ORITO,594
168,CIRCASIA,582
169,NILO,581
170,LA PLATA,563
171,BARBACOAS,556
172,ALBANIA,551
173,PUERTO RICO,546
174,SOPO,543
175,OVEJAS,535
176,RETIRO,526
177,CARTAGENA DEL CHAIRA,517
178,TAME,507
179,PUERTO LOPEZ,506
180,COVEÑAS,504
181,TUQUERRES,499
182,GUADUAS,497
183,SAN PABLO,497
184,RIVERA,496
185,LA CALERA,489
186,SEVILLA,485
187,SUPIA,485
188,URRAO,479
189,PUERTO TEJADA,476
190,AGUAZUL,473
191,SAN MARCOS,472
192,SAN ALBERTO,470
