date,cases
2020-03-31,1
2020-04-18,1
2020-04-20,1
2020-04-25,3
2020-04-30,1
2020-05-05,2
2020-05-11,1
2020-05-16,1
2020-06-12,3
2020-06-17,1
2020-06-18,1
2020-06-19,3
2020-06-21,3
2020-06-22,1
2020-06-24,2
2020-06-25,2
2020-06-26,1
2020-06-28,1
2020-07-03,1
2020-07-04,1
2020-07-06,1
2020-07-07,1
2020-07-08,4
2020-07-09,2
2020-07-10,3
2020-07-11,3
2020-07-13,2
2020-07-14,5
2020-07-15,3
2020-07-16,3
2020-07-17,10
2020-07-18,1
2020-07-19,1
2020-07-20,1
2020-07-21,2
2020-07-22,2
2020-07-23,1
2020-07-24,3
2020-07-25,2
2020-07-26,5
2020-07-27,10
2020-07-28,5
2020-07-30,6
2020-07-31,3
2020-08-01,8
2020-08-02,4
2020-08-03,10
2020-08-04,8
2020-08-05,5
2020-08-06,40
2020-08-07,8
2020-08-08,10
2020-08-09,4
2020-08-10,7
2020-08-11,11
2020-08-12,7
2020-08-13,3
2020-08-14,17
2020-08-15,4
2020-08-16,4
2020-08-17,1
2020-08-18,8
2020-08-19,11
2020-08-20,8
2020-08-21,35
2020-08-22,11
2020-08-23,6
2020-08-24,46
2020-08-25,15
2020-08-26,16
2020-08-27,19
2020-08-28,16
2020-08-29,27
2020-08-30,16
2020-08-31,5
2020-09-01,17
2020-09-02,71
2020-09-03,17
2020-09-04,22
2020-09-05,16
2020-09-06,30
2020-09-07,11
2020-09-08,32
2020-09-09,27
2020-09-10,27
2020-09-11,20
2020-09-12,37
2020-09-13,63
2020-09-14,12
2020-09-15,17
2020-09-16,65
2020-09-17,10
2020-09-18,30
2020-09-19,18
2020-09-20,27
2020-09-21,34
2020-09-22,35
2020-09-23,62
2020-09-24,7
2020-09-25,19
2020-09-26,5
2020-09-27,7
2020-09-28,46
2020-09-29,5
2020-09-30,8
2020-10-01,3
2020-10-02,18
2020-10-03,12
2020-10-04,8
2020-10-05,150
2020-10-06,32
2020-10-07,32
2020-10-08,23
2020-10-09,43
2020-10-10,6
2020-10-11,9
2020-10-12,7
2020-10-13,10
2020-10-14,11
2020-10-15,7
2020-10-16,9
2020-10-17,14
2020-10-18,22
2020-10-19,47
2020-10-20,97
2020-10-21,7
2020-10-22,16
2020-10-23,72
2020-10-24,5
2020-10-25,28
2020-10-26,30
2020-10-27,19
2020-10-28,18
2020-10-29,10
2020-10-30,21
2020-10-31,7
2020-11-01,5
2020-11-02,4
2020-11-03,8
2020-11-04,3
2020-11-05,9
2020-11-06,3
2020-11-07,3
2020-11-08,7
2020-11-09,28
2020-11-10,3
2020-11-11,5
2020-11-12,7
2020-11-13,32
2020-11-14,3
2020-11-15,4
2020-11-17,1
2020-11-18,3
2020-11-19,5
2020-11-20,44
2020-11-21,2
2020-11-23,3
2020-11-24,2
2020-11-25,7
2020-11-26,4
2020-11-27,2
