date,cases
2020-04-26,1
2020-05-07,1
2020-05-10,1
2020-05-15,1
2020-05-17,1
2020-07-01,2
2020-07-05,1
2020-07-06,1
2020-07-08,1
2020-07-13,5
2020-07-14,1
2020-07-16,3
2020-07-17,2
2020-07-19,3
2020-07-21,3
2020-07-22,2
2020-07-24,1
2020-07-25,1
2020-07-26,2
2020-07-28,3
2020-07-29,1
2020-07-30,1
2020-07-31,8
2020-08-01,2
2020-08-02,1
2020-08-03,5
2020-08-04,1
2020-08-05,2
2020-08-06,3
2020-08-07,14
2020-08-08,2
2020-08-09,2
2020-08-10,1
2020-08-11,1
2020-08-12,5
2020-08-13,4
2020-08-14,2
2020-08-15,11
2020-08-16,1
2020-08-17,2
2020-08-18,6
2020-08-19,5
2020-08-20,21
2020-08-21,23
2020-08-22,17
2020-08-23,21
2020-08-24,2
2020-08-25,15
2020-08-26,2
2020-08-27,1
2020-08-28,6
2020-08-29,2
2020-08-30,2
2020-08-31,5
2020-09-01,7
2020-09-03,4
2020-09-04,12
2020-09-05,4
2020-09-06,2
2020-09-07,3
2020-09-08,6
2020-09-09,5
2020-09-10,5
2020-09-11,1
2020-09-12,17
2020-09-13,4
2020-09-14,10
2020-09-15,10
2020-09-17,2
2020-09-18,4
2020-09-19,16
2020-09-21,9
2020-09-22,1
2020-09-23,1
2020-09-24,20
2020-09-25,2
2020-09-26,2
2020-09-27,2
2020-09-28,9
2020-09-29,8
2020-09-30,11
2020-10-02,15
2020-10-03,4
2020-10-04,2
2020-10-06,1
2020-10-07,1
2020-10-08,1
2020-10-09,4
2020-10-10,4
2020-10-12,4
2020-10-13,2
2020-10-14,2
2020-10-15,3
2020-10-17,5
2020-10-18,4
2020-10-19,3
2020-10-20,4
2020-10-21,2
2020-10-25,3
2020-10-27,3
2020-10-28,2
2020-10-29,2
2020-10-30,4
2020-10-31,3
2020-11-01,1
2020-11-02,1
2020-11-03,1
2020-11-07,1
2020-11-08,1
2020-11-09,1
2020-11-10,1
2020-11-13,3
2020-11-14,3
2020-11-16,1
2020-11-17,2
2020-11-18,1
2020-11-19,5
2020-11-20,3
2020-11-21,1
2020-11-24,1
2020-11-30,1
2020-12-01,1
2020-12-03,2
2020-12-04,2
2020-12-06,2
2020-12-07,1
2020-12-10,4
2020-12-11,3
2020-12-12,1
2020-12-13,3
2020-12-14,1
2020-12-15,9
2020-12-16,5
2020-12-17,2
2020-12-18,4
2020-12-21,4
2020-12-22,1
2020-12-23,5
2020-12-24,1
2020-12-25,1
2020-12-28,1
