date,cases
2020-07-27,1
2020-08-15,1
2020-08-18,1
2020-08-24,2
2020-09-14,1
2020-09-20,1
2020-09-23,1
2020-10-10,2
2020-10-13,1
2020-10-17,1
2020-10-20,1
2020-10-21,1
2020-10-22,1
2020-10-23,2
2020-10-25,1
2020-10-27,1
2020-10-28,1
2020-10-30,1
2020-11-09,1
2020-11-12,2
2020-11-14,1
2020-11-17,2
2020-11-19,1
2020-11-20,3
2020-11-23,3
2020-11-25,1
2020-11-26,4
2020-11-27,1
2020-11-29,2
2020-11-30,2
2020-12-02,2
2020-12-03,4
2020-12-04,1
2020-12-05,4
2020-12-07,1
2020-12-10,1
2020-12-11,2
2020-12-12,3
2020-12-13,3
2020-12-14,2
2020-12-15,2
2020-12-16,3
2020-12-17,2
2020-12-18,1
2020-12-20,1
2020-12-21,1
2020-12-22,1
2020-12-24,2
2020-12-28,1
2020-12-30,3
2021-01-04,3
