date,cases
2020-05-29,1
2020-06-11,1
2020-06-18,1
2020-06-25,1
2020-06-26,1
2020-07-06,2
2020-07-07,2
2020-07-08,2
2020-07-09,1
2020-07-10,1
2020-07-13,2
2020-07-14,1
2020-07-15,1
2020-07-17,2
2020-07-18,1
2020-07-20,1
2020-07-21,2
2020-07-22,1
2020-07-23,1
2020-07-26,2
2020-07-27,1
2020-07-29,3
2020-07-30,4
2020-07-31,1
2020-08-04,1
2020-08-08,1
2020-08-10,3
2020-08-11,2
2020-08-13,2
2020-08-14,2
2020-08-17,1
2020-08-18,2
2020-08-19,2
2020-08-20,3
2020-08-21,4
2020-08-22,3
2020-08-24,6
2020-08-25,13
2020-08-27,1
2020-08-28,4
2020-08-29,4
2020-08-30,1
2020-08-31,1
2020-09-01,2
2020-09-02,2
2020-09-03,1
2020-09-04,2
2020-09-05,1
2020-09-06,2
2020-09-07,6
2020-09-08,8
2020-09-09,11
2020-09-10,2
2020-09-11,7
2020-09-12,1
2020-09-13,1
2020-09-14,8
2020-09-15,4
2020-09-17,2
2020-09-18,2
2020-09-19,1
2020-09-20,1
2020-09-21,2
2020-09-22,6
2020-09-23,3
2020-09-24,9
2020-09-25,2
2020-09-26,4
2020-09-27,1
2020-09-28,5
2020-09-29,4
2020-09-30,6
2020-10-01,4
2020-10-02,2
2020-10-04,2
2020-10-05,3
2020-10-06,4
2020-10-07,1
2020-10-08,3
2020-10-09,3
2020-10-10,3
2020-10-12,3
2020-10-13,3
2020-10-14,2
2020-10-15,6
2020-10-16,5
2020-10-17,3
2020-10-18,1
2020-10-19,4
2020-10-20,3
2020-10-21,1
2020-10-22,5
2020-10-23,1
2020-10-24,3
2020-10-25,2
2020-10-26,3
2020-10-27,3
2020-10-28,2
2020-10-29,2
2020-10-30,3
2020-10-31,1
2020-11-01,3
2020-11-02,1
2020-11-03,4
2020-11-04,3
2020-11-05,9
2020-11-06,3
2020-11-07,2
2020-11-08,1
2020-11-10,3
2020-11-11,5
2020-11-12,6
2020-11-13,4
2020-11-17,1
2020-11-18,4
2020-11-19,6
2020-11-20,3
2020-11-21,4
2020-11-24,6
2020-11-25,2
2020-11-26,1
2020-11-27,2
2020-11-28,2
2020-11-30,3
2020-12-01,4
2020-12-02,3
2020-12-03,1
2020-12-04,2
2020-12-05,1
2020-12-08,1
2020-12-09,2
2020-12-10,4
2020-12-11,1
2020-12-12,2
2020-12-13,4
2020-12-14,15
