date,cases
2020-06-03,1
2020-07-15,1
2020-07-16,1
2020-07-18,1
2020-07-22,2
2020-07-28,1
2020-08-04,1
2020-08-12,1
2020-08-14,1
2020-08-19,1
2020-08-25,1
2020-08-29,1
2020-09-09,1
2020-09-18,1
2020-09-28,1
2020-09-29,1
2020-10-01,1
2020-10-02,1
2020-10-04,1
2020-10-05,3
2020-10-06,3
2020-10-07,2
2020-10-08,1
2020-10-09,1
2020-10-10,2
2020-10-11,2
2020-10-13,1
2020-10-15,1
2020-10-17,1
2020-10-20,4
2020-10-21,2
2020-10-23,2
2020-10-24,2
2020-10-26,3
2020-10-27,2
2020-10-28,1
2020-10-29,1
2020-10-31,1
2020-11-02,1
