date,cases
2020-07-18,1
2020-07-22,1
2020-07-23,2
2020-07-26,1
2020-07-30,3
2020-07-31,1
2020-08-22,29
2020-08-24,3
2020-08-28,1
2020-08-31,1
2020-09-01,1
2020-09-04,4
2020-09-05,1
2020-09-07,6
2020-09-08,4
2020-09-11,1
2020-09-13,3
2020-09-14,3
2020-09-15,4
2020-09-16,2
2020-09-17,4
2020-09-18,1
2020-09-20,1
2020-09-22,1
2020-09-24,1
2020-09-25,1
2020-09-26,13
2020-09-28,1
2020-09-30,1
2020-10-01,1
2020-10-03,1
2020-10-05,2
2020-10-07,1
2020-10-08,3
2020-10-16,1
2020-10-17,1
2020-10-18,2
2020-10-21,1
2020-10-27,1
