date,cases
2020-05-20,1
2020-05-26,1
2020-06-04,2
2020-06-11,2
2020-06-12,9
2020-06-17,1
2020-06-22,2
2020-06-23,4
2020-06-24,6
2020-06-25,8
2020-06-26,3
2020-06-27,7
2020-06-28,3
2020-06-29,7
2020-06-30,6
2020-07-01,21
2020-07-02,35
2020-07-03,46
2020-07-04,5
2020-07-05,9
2020-07-06,24
2020-07-07,21
2020-07-08,6
2020-07-09,14
2020-07-10,1
2020-07-11,5
2020-07-12,17
2020-07-13,14
2020-07-14,4
2020-07-15,1
2020-07-16,4
2020-07-17,5
2020-07-18,1
2020-07-19,2
2020-07-21,3
2020-07-23,3
2020-07-24,3
2020-07-25,5
2020-07-26,7
2020-07-27,5
2020-07-28,1
2020-07-29,8
2020-07-30,85
2020-07-31,47
2020-08-01,16
2020-08-02,11
2020-08-03,4
2020-08-04,4
2020-08-05,1
2020-08-06,3
2020-08-08,10
2020-08-09,3
2020-08-10,1
2020-08-12,5
2020-08-15,1
2020-08-22,2
2020-08-30,2
2020-09-02,1
2020-09-03,1
2020-09-07,1
2020-09-24,1
2020-09-27,1
2020-10-12,1
2020-10-20,4
2020-11-04,1
2020-11-22,1
2020-12-07,1
2020-12-11,1
2020-12-15,1
2020-12-17,1
2020-12-18,2
