date,cases
2020-06-16,1
2020-06-20,1
2020-06-27,1
2020-07-02,1
2020-07-09,1
2020-07-13,1
2020-07-14,2
2020-07-16,1
2020-07-19,1
2020-07-21,1
2020-07-22,1
2020-07-23,4
2020-07-24,2
2020-07-25,1
2020-07-29,2
2020-07-30,4
2020-07-31,9
2020-08-01,1
2020-08-02,1
2020-08-03,1
2020-08-04,1
2020-08-08,2
2020-08-10,2
2020-08-12,2
2020-08-13,2
2020-08-14,1
2020-08-22,1
2020-08-23,1
2020-08-24,1
2020-08-25,2
2020-08-26,1
2020-08-27,3
2020-08-29,2
2020-08-31,2
2020-09-01,2
2020-09-03,2
2020-09-04,4
2020-09-07,1
2020-09-09,1
2020-09-10,1
2020-09-13,1
2020-09-14,1
2020-09-15,1
2020-09-16,2
2020-09-18,2
2020-09-21,1
2020-09-22,3
2020-09-24,2
2020-09-25,2
2020-09-28,2
2020-09-30,4
2020-10-04,2
2020-10-05,1
2020-10-09,1
2020-10-13,3
2020-10-14,2
2020-10-15,1
2020-10-16,1
2020-10-20,2
2020-10-23,1
2020-10-29,4
2020-11-03,4
2020-11-04,1
2020-11-05,1
2020-11-09,1
2020-11-11,1
2020-11-16,1
2020-11-17,3
2020-11-19,2
2020-11-20,1
2020-11-23,2
2020-11-30,1
2020-12-01,1
