date,cases
2020-05-23,1
2020-07-02,1
2020-07-05,9
2020-07-18,19
2020-07-20,2
2020-07-25,2
2020-08-05,2
2020-08-09,3
2020-08-12,1
2020-09-14,1
2020-09-18,1
2020-09-29,1
2020-09-30,1
2020-10-02,2
2020-10-05,5
2020-10-06,1
2020-10-09,4
2020-10-10,1
2020-10-12,1
2020-10-13,2
2020-10-14,1
2020-10-15,3
2020-10-16,1
2020-10-19,3
2020-10-20,3
2020-10-21,2
2020-10-22,2
2020-10-23,1
2020-10-24,3
2020-10-27,2
2020-10-29,1
2020-10-30,2
2020-10-31,3
2020-11-01,1
2020-11-05,1
2020-11-08,1
2020-11-09,1
2020-11-22,1
2020-11-25,1
2020-12-02,2
2020-12-16,2
