date,cases
2020-03-06,1
2020-03-28,1
2020-03-29,1
2020-03-31,1
2020-04-04,1
2020-04-06,1
2020-04-07,2
2020-04-11,1
2020-04-13,2
2020-05-16,2
2020-05-20,1
2020-05-22,1
2020-05-30,1
2020-06-01,2
2020-06-05,1
2020-06-06,1
2020-06-08,4
2020-06-09,2
2020-06-10,1
2020-06-11,2
2020-06-12,4
2020-06-14,5
2020-06-15,2
2020-06-17,7
2020-06-18,2
2020-06-19,3
2020-06-22,3
2020-06-23,9
2020-06-24,6
2020-06-25,2
2020-06-26,5
2020-06-27,4
2020-06-28,3
2020-06-29,2
2020-06-30,9
2020-07-01,2
2020-07-02,5
2020-07-03,6
2020-07-04,4
2020-07-05,2
2020-07-06,8
2020-07-07,11
2020-07-08,9
2020-07-09,3
2020-07-10,6
2020-07-11,6
2020-07-12,1
2020-07-13,4
2020-07-14,3
2020-07-15,8
2020-07-16,11
2020-07-17,8
2020-07-18,7
2020-07-20,2
2020-07-21,10
2020-07-22,10
2020-07-23,7
2020-07-24,15
2020-07-25,11
2020-07-26,4
2020-07-27,11
2020-07-28,9
2020-07-29,8
2020-07-30,9
2020-07-31,16
2020-08-01,6
2020-08-02,1
2020-08-03,16
2020-08-04,11
2020-08-05,11
2020-08-06,21
2020-08-07,6
2020-08-08,8
2020-08-09,3
2020-08-10,13
2020-08-11,13
2020-08-12,20
2020-08-13,14
2020-08-14,14
2020-08-15,11
2020-08-16,6
2020-08-17,3
2020-08-18,20
2020-08-19,14
2020-08-20,15
2020-08-21,4
2020-08-22,7
2020-08-23,10
2020-08-24,33
2020-08-25,12
2020-08-26,11
2020-08-27,13
2020-08-28,8
2020-08-29,10
2020-08-30,3
2020-08-31,10
2020-09-01,8
2020-09-02,11
2020-09-03,7
2020-09-04,35
2020-09-05,11
2020-09-06,23
2020-09-07,28
2020-09-08,14
2020-09-09,18
2020-09-10,29
2020-09-11,23
2020-09-12,18
2020-09-13,7
2020-09-14,34
2020-09-15,27
2020-09-16,31
2020-09-17,17
2020-09-18,20
2020-09-19,23
2020-09-20,8
2020-09-21,21
2020-09-22,18
2020-09-23,25
2020-09-24,14
2020-09-25,5
2020-09-26,22
2020-09-27,18
2020-09-28,32
2020-09-29,24
2020-09-30,29
2020-10-01,23
2020-10-02,44
2020-10-03,35
2020-10-04,15
2020-10-05,38
2020-10-06,30
2020-10-07,36
2020-10-08,57
2020-10-09,36
2020-10-10,39
2020-10-11,24
2020-10-12,36
2020-10-13,40
2020-10-14,44
2020-10-15,32
2020-10-16,35
2020-10-17,27
2020-10-18,21
2020-10-19,44
2020-10-20,72
2020-10-21,44
2020-10-22,45
2020-10-23,45
2020-10-24,39
2020-10-25,47
2020-10-26,66
2020-10-27,47
2020-10-28,31
2020-10-29,45
2020-10-30,53
2020-10-31,40
2020-11-01,29
2020-11-02,18
2020-11-03,41
2020-11-04,38
2020-11-05,42
2020-11-06,62
2020-11-07,34
2020-11-08,18
2020-11-09,26
2020-11-10,24
2020-11-11,19
2020-11-12,21
2020-11-13,28
2020-11-14,14
2020-11-15,3
2020-11-16,7
2020-11-17,33
2020-11-18,30
2020-11-19,16
2020-11-20,34
2020-11-21,11
2020-11-22,3
2020-11-23,38
2020-11-24,9
2020-11-25,2
