date,cases
2020-06-12,1
2020-07-02,1
2020-07-08,1
2020-07-15,1
2020-07-16,1
2020-07-18,1
2020-07-27,1
2020-08-04,1
2020-08-06,1
2020-08-08,1
2020-08-10,1
2020-08-11,4
2020-08-13,1
2020-08-18,1
2020-08-23,1
2020-08-24,1
2020-08-25,2
2020-08-27,2
2020-08-28,1
2020-08-31,1
2020-09-01,2
2020-09-02,1
2020-09-03,2
2020-09-06,1
2020-09-07,2
2020-09-09,1
2020-09-12,2
2020-09-14,1
2020-09-15,1
2020-09-16,2
2020-09-17,2
2020-09-18,1
2020-09-21,3
2020-09-22,2
2020-09-23,2
2020-09-24,8
2020-09-25,1
2020-09-26,3
2020-09-27,1
2020-09-28,9
2020-09-29,1
2020-09-30,10
2020-10-01,1
2020-10-02,11
2020-10-03,3
2020-10-04,1
2020-10-05,4
2020-10-06,2
2020-10-07,5
2020-10-08,5
2020-10-09,8
2020-10-10,1
2020-10-11,1
2020-10-13,6
2020-10-14,6
2020-10-15,6
2020-10-16,5
2020-10-17,7
2020-10-18,2
2020-10-19,9
2020-10-20,3
2020-10-21,7
2020-10-22,6
2020-10-23,5
2020-10-24,2
2020-10-25,3
2020-10-26,5
2020-10-27,7
2020-10-28,7
2020-10-29,2
2020-10-31,2
2020-11-01,3
2020-11-02,1
2020-11-03,4
2020-11-04,2
