date,cases
2020-06-30,1
2020-07-17,2
2020-07-27,1
2020-07-30,1
2020-07-31,1
2020-08-03,1
2020-08-11,1
2020-08-15,1
2020-08-18,2
2020-08-19,1
2020-08-20,1
2020-08-21,3
2020-08-22,1
2020-08-23,1
2020-08-24,5
2020-08-27,1
2020-08-28,1
2020-08-29,1
2020-08-31,1
2020-09-04,9
2020-09-05,2
2020-09-07,2
2020-09-08,7
2020-09-10,1
2020-09-14,8
2020-09-15,1
2020-09-18,1
2020-09-20,1
2020-09-21,1
2020-09-22,3
2020-09-24,1
2020-09-25,1
2020-09-27,1
2020-09-30,1
2020-10-01,1
2020-10-02,3
2020-10-05,2
2020-10-07,1
2020-10-10,1
2020-10-13,1
2020-10-14,1
2020-10-16,1
2020-10-20,3
2020-10-21,1
2020-10-28,1
2020-10-31,1
2020-11-03,1
2020-11-07,1
2020-11-09,3
2020-11-13,2
2020-11-14,1
2020-11-18,1
2020-11-23,1
2020-11-26,1
2020-11-27,1
2020-11-30,1
