date,cases
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-20,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-04-01,1
2020-04-03,1
2020-04-09,1
2020-04-11,1
2020-04-13,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-21,2
2020-05-08,1
2020-05-12,1
2020-05-19,3
2020-05-20,1
2020-05-21,2
2020-05-22,1
2020-05-25,1
2020-05-26,3
2020-05-27,3
2020-05-29,3
2020-05-30,2
2020-06-01,4
2020-06-02,2
2020-06-03,4
2020-06-05,2
2020-06-06,1
2020-06-07,1
2020-06-09,1
2020-06-11,6
2020-06-12,1
2020-06-13,3
2020-06-15,1
2020-06-16,3
2020-06-17,2
2020-06-18,1
2020-06-19,1
2020-06-20,4
2020-06-21,4
2020-06-23,2
2020-06-24,1
2020-06-25,5
2020-06-26,2
2020-06-27,4
2020-06-28,2
2020-06-29,2
2020-06-30,4
2020-07-02,3
2020-07-03,4
2020-07-04,1
2020-07-05,9
2020-07-06,6
2020-07-07,16
2020-07-08,12
2020-07-09,8
2020-07-10,6
2020-07-11,12
2020-07-12,2
2020-07-13,12
2020-07-14,12
2020-07-15,8
2020-07-16,14
2020-07-17,17
2020-07-18,13
2020-07-19,4
2020-07-20,23
2020-07-21,14
2020-07-22,12
2020-07-23,26
2020-07-24,21
2020-07-25,10
2020-07-26,25
2020-07-27,14
2020-07-28,13
2020-07-29,19
2020-07-30,29
2020-07-31,17
2020-08-01,18
2020-08-02,11
2020-08-03,20
2020-08-04,30
2020-08-05,28
2020-08-06,34
2020-08-07,12
2020-08-08,20
2020-08-09,15
2020-08-10,19
2020-08-11,14
2020-08-12,17
2020-08-13,27
2020-08-14,19
2020-08-15,15
2020-08-16,12
2020-08-17,23
2020-08-18,17
2020-08-19,14
2020-08-20,20
2020-08-21,15
2020-08-22,20
2020-08-23,13
2020-08-24,41
2020-08-25,12
2020-08-26,23
2020-08-27,22
2020-08-28,14
2020-08-29,25
2020-08-30,14
2020-08-31,20
2020-09-01,22
2020-09-02,17
2020-09-03,22
2020-09-04,15
2020-09-05,9
2020-09-06,7
2020-09-07,21
2020-09-08,15
2020-09-09,13
2020-09-10,12
2020-09-11,22
2020-09-12,17
2020-09-13,21
2020-09-14,14
2020-09-15,24
2020-09-16,16
2020-09-17,8
2020-09-18,15
2020-09-19,8
2020-09-20,17
2020-09-21,16
2020-09-22,21
2020-09-23,17
2020-09-24,7
2020-09-25,6
2020-09-26,10
2020-09-27,13
2020-09-28,15
2020-09-29,17
2020-09-30,10
2020-10-01,8
2020-10-02,22
2020-10-03,10
2020-10-04,15
2020-10-05,22
2020-10-06,8
2020-10-07,21
2020-10-08,22
2020-10-09,24
2020-10-10,12
2020-10-11,4
2020-10-12,12
2020-10-13,27
2020-10-14,19
2020-10-15,18
2020-10-16,9
2020-10-17,28
2020-10-18,22
2020-10-19,36
2020-10-20,21
2020-10-21,25
2020-10-22,13
2020-10-23,8
2020-10-24,4
2020-10-25,2
2020-10-26,17
2020-10-27,2
2020-10-28,4
2020-10-31,6
