date,cases
2020-05-01,1
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-05-13,1
2020-05-20,1
2020-05-27,1
2020-06-05,1
2020-06-24,1
2020-06-25,1
2020-06-28,1
2020-07-04,2
2020-07-05,1
2020-07-08,1
2020-07-09,1
2020-07-10,1
2020-07-11,8
2020-07-12,3
2020-07-13,1
2020-07-15,2
2020-07-16,5
2020-07-17,4
2020-07-22,10
2020-07-23,1
2020-07-24,17
2020-07-25,2
2020-07-26,2
2020-07-27,3
2020-07-28,13
2020-07-29,1
2020-07-30,7
2020-07-31,3
2020-08-01,5
2020-08-03,11
2020-08-04,1
2020-08-05,6
2020-08-07,4
2020-08-08,1
2020-08-09,1
2020-08-10,6
2020-08-12,6
2020-08-13,6
2020-08-14,4
2020-08-15,1
2020-08-16,2
2020-08-17,1
2020-08-18,6
2020-08-19,5
2020-08-20,7
2020-08-21,2
2020-08-22,9
2020-08-25,1
2020-08-26,1
2020-08-31,2
2020-09-17,2
2020-09-18,1
2020-09-24,3
2020-10-01,1
2020-10-09,1
2020-10-31,3
2020-11-24,7
2020-12-04,2
2020-12-05,1
