date,cases
2020-03-08,1
2020-03-13,1
2020-03-15,2
2020-03-16,3
2020-03-17,1
2020-03-18,4
2020-03-19,3
2020-03-20,2
2020-03-21,3
2020-03-22,4
2020-03-23,5
2020-03-24,1
2020-03-25,6
2020-03-26,3
2020-03-27,3
2020-03-28,9
2020-03-29,1
2020-03-30,7
2020-03-31,6
2020-04-01,4
2020-04-02,11
2020-04-03,4
2020-04-04,3
2020-04-05,2
2020-04-07,6
2020-04-08,6
2020-04-09,9
2020-04-10,6
2020-04-11,14
2020-04-12,6
2020-04-13,11
2020-04-14,10
2020-04-15,11
2020-04-16,12
2020-04-17,13
2020-04-18,10
2020-04-19,6
2020-04-20,4
2020-04-21,5
2020-04-22,13
2020-04-23,13
2020-04-24,7
2020-04-25,8
2020-04-26,16
2020-04-27,22
2020-04-28,17
2020-04-29,27
2020-04-30,25
2020-05-01,19
2020-05-02,47
2020-05-03,29
2020-05-04,59
2020-05-05,60
2020-05-06,73
2020-05-07,69
2020-05-08,90
2020-05-09,72
2020-05-10,53
2020-05-11,78
2020-05-12,100
2020-05-13,99
2020-05-14,149
2020-05-15,203
2020-05-16,159
2020-05-17,107
2020-05-18,185
2020-05-19,142
2020-05-20,262
2020-05-21,202
2020-05-22,185
2020-05-23,333
2020-05-24,64
2020-05-25,72
2020-05-26,196
2020-05-27,165
2020-05-28,188
2020-05-29,130
2020-05-30,87
2020-05-31,52
2020-06-01,97
2020-06-02,124
2020-06-03,161
2020-06-04,146
2020-06-05,125
2020-06-06,75
2020-06-07,75
2020-06-08,190
2020-06-09,167
2020-06-10,184
2020-06-11,169
2020-06-12,205
2020-06-13,159
2020-06-14,69
2020-06-15,131
2020-06-16,272
2020-06-17,360
2020-06-18,272
2020-06-19,283
2020-06-20,255
2020-06-21,153
2020-06-22,203
2020-06-23,319
2020-06-24,309
2020-06-25,357
2020-06-26,401
2020-06-27,213
2020-06-28,78
2020-06-29,172
2020-06-30,304
2020-07-01,386
2020-07-02,270
2020-07-03,345
2020-07-04,368
2020-07-05,249
2020-07-06,293
2020-07-07,241
2020-07-08,298
2020-07-09,265
2020-07-10,260
2020-07-11,264
2020-07-12,133
2020-07-13,355
2020-07-14,307
2020-07-15,225
2020-07-16,300
2020-07-17,245
2020-07-18,299
2020-07-19,269
2020-07-20,130
2020-07-21,216
2020-07-22,256
2020-07-23,198
2020-07-24,151
2020-07-25,194
2020-07-26,145
2020-07-27,240
2020-07-28,245
2020-07-29,129
2020-07-30,176
2020-07-31,163
2020-08-01,124
2020-08-02,120
2020-08-03,148
2020-08-04,124
2020-08-05,109
2020-08-06,272
2020-08-07,51
2020-08-08,97
2020-08-09,34
2020-08-10,78
2020-08-11,111
2020-08-12,69
2020-08-13,155
2020-08-14,170
2020-08-15,132
2020-08-16,30
2020-08-17,77
2020-08-18,141
2020-08-19,110
2020-08-20,150
2020-08-21,116
2020-08-22,91
2020-08-23,40
2020-08-24,93
2020-08-25,111
2020-08-26,76
2020-08-27,86
2020-08-28,117
2020-08-29,330
2020-08-30,138
2020-08-31,83
2020-09-01,219
2020-09-02,44
2020-09-03,242
2020-09-04,94
2020-09-05,46
2020-09-06,48
2020-09-07,41
2020-09-08,35
2020-09-09,39
2020-09-10,119
2020-09-11,128
2020-09-12,67
2020-09-13,49
2020-09-14,71
2020-09-15,74
2020-09-16,71
2020-09-17,152
2020-09-18,73
2020-09-19,82
2020-09-20,77
2020-09-21,99
2020-09-22,73
2020-09-23,42
2020-09-24,50
2020-09-25,83
2020-09-26,92
2020-09-27,82
2020-09-28,67
2020-09-29,85
2020-09-30,56
2020-10-01,50
2020-10-02,124
2020-10-03,70
2020-10-04,55
2020-10-05,90
2020-10-06,97
2020-10-07,45
2020-10-08,120
2020-10-09,82
2020-10-10,75
2020-10-11,56
2020-10-12,64
2020-10-13,92
2020-10-14,56
2020-10-15,79
2020-10-16,102
2020-10-17,100
2020-10-18,69
2020-10-19,183
2020-10-20,180
2020-10-21,154
2020-10-22,120
2020-10-23,163
2020-10-24,103
2020-10-25,86
2020-10-26,117
2020-10-27,119
2020-10-28,97
2020-10-29,147
2020-10-30,132
2020-10-31,123
2020-11-01,146
2020-11-02,150
2020-11-03,147
2020-11-04,120
2020-11-05,113
2020-11-06,138
2020-11-07,210
2020-11-08,230
2020-11-09,309
2020-11-10,180
2020-11-11,91
2020-11-12,234
2020-11-13,286
2020-11-14,203
2020-11-15,239
2020-11-16,261
2020-11-17,216
2020-11-18,183
2020-11-19,286
2020-11-20,324
2020-11-21,258
2020-11-22,275
2020-11-23,318
2020-11-24,303
2020-11-25,247
2020-11-26,438
2020-11-27,377
2020-11-28,312
2020-11-29,188
2020-11-30,414
2020-12-01,485
2020-12-02,409
2020-12-03,434
2020-12-04,493
2020-12-05,570
2020-12-06,484
2020-12-07,591
2020-12-08,367
2020-12-09,507
2020-12-10,492
2020-12-11,539
2020-12-12,455
2020-12-13,352
2020-12-14,224
2020-12-15,447
2020-12-16,363
2020-12-17,367
2020-12-18,284
2020-12-19,307
2020-12-20,185
2020-12-21,228
2020-12-22,325
2020-12-23,297
2020-12-24,316
2020-12-25,92
2020-12-26,161
2020-12-27,76
2020-12-28,158
2020-12-29,209
2020-12-30,129
2020-12-31,76
2021-01-01,42
2021-01-02,82
2021-01-03,19
2021-01-04,40
