date,cases
2020-05-09,1
2020-05-28,1
2020-06-03,1
2020-06-05,1
2020-06-22,4
2020-06-23,1
2020-06-24,1
2020-06-25,1
2020-06-27,2
2020-06-28,2
2020-06-29,2
2020-06-30,14
2020-07-01,7
2020-07-02,8
2020-07-03,3
2020-07-04,15
2020-07-05,6
2020-07-06,6
2020-07-07,19
2020-07-08,16
2020-07-09,6
2020-07-10,11
2020-07-11,11
2020-07-12,15
2020-07-13,16
2020-07-14,15
2020-07-15,3
2020-07-16,5
2020-07-17,9
2020-07-18,13
2020-07-19,5
2020-07-20,15
2020-07-21,13
2020-07-22,19
2020-07-23,9
2020-07-24,8
2020-07-25,11
2020-07-26,5
2020-07-27,8
2020-07-28,2
2020-07-29,25
2020-07-30,11
2020-07-31,14
2020-08-01,10
2020-08-02,14
2020-08-03,12
2020-08-04,5
2020-08-05,8
2020-08-06,5
2020-08-07,3
2020-08-08,6
2020-08-09,2
2020-08-10,7
2020-08-11,11
2020-08-12,7
2020-08-13,9
2020-08-14,15
2020-08-15,7
2020-08-16,1
2020-08-17,2
2020-08-18,3
2020-08-19,13
2020-08-20,34
2020-08-21,1
2020-08-22,1
2020-08-24,5
2020-08-25,2
2020-08-26,1
2020-08-27,16
2020-08-28,8
2020-08-30,11
2020-08-31,14
2020-09-03,7
2020-09-04,4
2020-09-05,7
2020-09-07,2
2020-09-08,14
2020-09-09,7
2020-09-10,44
2020-09-11,1
2020-09-12,9
2020-09-13,1
2020-09-14,8
2020-09-15,3
2020-09-16,2
2020-09-18,3
2020-09-19,3
2020-09-20,1
2020-09-21,9
2020-09-22,4
2020-09-24,1
2020-09-25,2
2020-09-26,1
2020-10-02,2
2020-10-04,1
2020-10-05,3
2020-10-07,2
2020-10-08,1
2020-10-09,1
2020-10-13,1
2020-10-15,3
2020-10-16,2
2020-10-17,1
2020-10-18,1
2020-10-19,4
2020-10-20,1
2020-10-21,2
2020-10-22,1
2020-10-23,1
2020-10-24,1
2020-10-25,4
2020-10-26,2
2020-10-29,1
2020-10-31,2
2020-11-01,2
2020-11-02,3
2020-11-03,1
2020-11-04,1
2020-11-09,1
2020-11-10,1
2020-11-12,1
2020-11-13,2
2020-11-16,1
2020-11-17,1
2020-11-18,1
2020-11-19,1
2020-11-20,1
2020-11-21,1
2020-11-26,1
2020-11-27,1
2020-11-30,1
2020-12-01,3
2020-12-02,1
2020-12-07,1
2020-12-10,3
2020-12-11,5
2020-12-12,1
2020-12-14,1
2020-12-15,2
2020-12-16,3
2020-12-17,2
2020-12-18,1
2020-12-19,2
2020-12-20,1
2020-12-22,1
2020-12-23,2
2020-12-24,3
2020-12-26,1
2020-12-29,1
2020-12-30,1
2020-12-31,1
2021-01-01,1
2021-01-04,4
