date,cases
2020-06-02,2
2020-06-03,3
2020-06-08,2
2020-06-11,3
2020-06-12,8
2020-06-13,1
2020-06-16,1
2020-06-17,3
2020-06-18,3
2020-06-19,2
2020-06-23,1
2020-06-24,2
2020-06-25,2
2020-06-26,2
2020-06-27,1
2020-06-29,1
2020-06-30,9
2020-07-01,5
2020-07-02,3
2020-07-03,6
2020-07-04,4
2020-07-05,5
2020-07-06,5
2020-07-07,6
2020-07-08,10
2020-07-09,12
2020-07-10,9
2020-07-11,7
2020-07-12,1
2020-07-13,26
2020-07-14,17
2020-07-15,27
2020-07-16,21
2020-07-17,7
2020-07-18,2
2020-07-19,4
2020-07-20,7
2020-07-21,9
2020-07-22,10
2020-07-23,11
2020-07-24,5
2020-07-25,3
2020-07-26,5
2020-07-27,14
2020-07-28,12
2020-07-29,5
2020-07-30,7
2020-07-31,10
2020-08-01,6
2020-08-02,2
2020-08-03,20
2020-08-04,19
2020-08-05,8
2020-08-06,8
2020-08-07,5
2020-08-08,10
2020-08-09,3
2020-08-10,21
2020-08-11,13
2020-08-12,21
2020-08-13,15
2020-08-14,14
2020-08-15,9
2020-08-16,6
2020-08-17,3
2020-08-18,20
2020-08-19,13
2020-08-20,7
2020-08-21,4
2020-08-22,3
2020-08-23,1
2020-08-24,14
2020-08-25,14
2020-08-26,4
2020-08-27,5
2020-08-28,4
2020-08-29,8
2020-08-30,3
2020-08-31,15
2020-09-01,2
2020-09-02,10
2020-09-03,11
2020-09-04,9
2020-09-05,10
2020-09-06,4
2020-09-07,5
2020-09-08,10
2020-09-09,6
2020-09-10,6
2020-09-11,3
2020-09-12,6
2020-09-13,4
2020-09-14,20
2020-09-15,10
2020-09-16,7
2020-09-17,4
2020-09-18,1
2020-09-20,1
2020-09-21,7
2020-09-23,3
2020-09-26,4
2020-09-27,4
2020-09-28,7
2020-09-29,2
2020-09-30,4
2020-10-01,4
2020-10-02,1
2020-10-03,3
2020-10-04,1
2020-10-05,5
2020-10-06,5
2020-10-07,1
2020-10-08,1
2020-10-09,3
2020-10-10,1
2020-10-11,1
2020-10-13,1
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-17,3
2020-10-19,3
2020-10-20,3
2020-10-22,1
2020-10-24,1
2020-10-26,2
2020-10-29,1
2020-10-30,1
2020-10-31,1
2020-11-02,2
2020-11-03,1
2020-11-04,1
2020-11-05,1
2020-11-06,1
2020-11-07,1
2020-11-08,1
2020-11-09,1
2020-11-12,3
2020-11-19,1
2020-11-20,1
