date,cases
2020-03-25,1
2020-03-30,1
2020-04-01,2
2020-04-03,1
2020-04-07,2
2020-04-08,1
2020-04-10,1
2020-04-11,1
2020-04-13,1
2020-04-14,8
2020-04-16,4
2020-04-19,1
2020-04-20,2
2020-04-24,5
2020-04-25,11
2020-04-26,2
2020-04-27,3
2020-04-28,1
2020-04-30,4
2020-05-01,1
2020-05-02,1
2020-05-03,3
2020-05-04,3
2020-05-05,5
2020-05-07,2
2020-05-09,4
2020-05-11,1
2020-05-13,1
2020-05-14,4
2020-05-15,1
2020-05-16,2
2020-05-17,2
2020-05-18,3
2020-05-19,3
2020-05-20,4
2020-05-21,3
2020-05-22,5
2020-05-23,5
2020-05-25,4
2020-05-26,10
2020-05-27,11
2020-05-28,3
2020-05-29,2
2020-05-30,2
2020-05-31,3
2020-06-01,5
2020-06-02,8
2020-06-03,3
2020-06-04,8
2020-06-05,6
2020-06-06,4
2020-06-07,6
2020-06-08,7
2020-06-09,16
2020-06-10,15
2020-06-11,7
2020-06-12,18
2020-06-13,10
2020-06-14,4
2020-06-15,14
2020-06-16,21
2020-06-17,23
2020-06-18,24
2020-06-19,41
2020-06-20,9
2020-06-21,15
2020-06-22,7
2020-06-23,33
2020-06-24,26
2020-06-25,19
2020-06-26,26
2020-06-27,27
2020-06-28,18
2020-06-29,24
2020-06-30,41
2020-07-01,19
2020-07-02,17
2020-07-03,29
2020-07-04,17
2020-07-05,16
2020-07-06,35
2020-07-07,38
2020-07-08,26
2020-07-09,40
2020-07-10,15
2020-07-11,8
2020-07-12,29
2020-07-13,33
2020-07-14,18
2020-07-15,19
2020-07-16,19
2020-07-17,16
2020-07-18,9
2020-07-19,9
2020-07-20,5
2020-07-21,18
2020-07-22,7
2020-07-23,14
2020-07-24,15
2020-07-25,6
2020-07-26,4
2020-07-27,12
2020-07-28,12
2020-07-29,13
2020-07-30,22
2020-07-31,10
2020-08-01,20
2020-08-03,11
2020-08-04,3
2020-08-05,4
2020-08-06,13
2020-08-07,8
2020-08-08,5
2020-08-10,3
2020-08-11,2
2020-08-12,6
2020-08-13,4
2020-08-14,3
2020-08-15,5
2020-08-16,1
2020-08-17,1
2020-08-18,6
2020-08-19,11
2020-08-20,9
2020-08-21,6
2020-08-22,2
2020-08-23,2
2020-08-24,1
2020-08-25,5
2020-08-26,6
2020-08-27,4
2020-08-28,1
2020-08-31,2
2020-09-01,6
2020-09-02,3
2020-09-04,3
2020-09-07,1
2020-09-08,2
2020-09-09,3
2020-09-10,3
2020-09-11,3
2020-09-12,3
2020-09-14,3
2020-09-15,4
2020-09-18,2
2020-09-19,2
2020-09-20,1
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-24,4
2020-09-25,1
2020-09-26,1
2020-09-27,1
2020-09-28,3
2020-09-29,3
2020-09-30,1
2020-10-01,1
2020-10-02,2
2020-10-03,2
2020-10-04,1
2020-10-05,2
2020-10-07,4
2020-10-08,2
2020-10-09,2
2020-10-10,3
2020-10-13,3
2020-10-16,1
2020-10-18,1
2020-10-19,1
2020-10-20,2
2020-10-22,6
2020-10-23,2
2020-10-24,1
2020-10-26,3
2020-10-27,1
2020-10-28,1
