date,cases
2020-06-02,1
2020-06-07,1
2020-06-11,3
2020-06-20,1
2020-06-24,1
2020-06-26,1
2020-06-27,1
2020-07-07,1
2020-07-08,1
2020-07-09,2
2020-07-13,1
2020-07-14,2
2020-07-16,4
2020-07-18,2
2020-07-22,7
2020-07-24,15
2020-07-25,6
2020-07-26,1
2020-07-27,5
2020-07-28,1
2020-07-29,1
2020-07-31,2
2020-08-01,13
2020-08-02,1
2020-08-04,2
2020-08-05,4
2020-08-06,3
2020-08-08,8
2020-08-09,7
2020-08-11,1
2020-08-12,5
2020-08-14,4
2020-08-15,3
2020-08-16,1
2020-08-17,3
2020-08-19,2
2020-08-20,3
2020-08-21,1
2020-08-22,9
2020-08-23,1
2020-08-24,1
2020-08-25,3
2020-08-26,3
2020-08-29,1
2020-08-30,2
2020-08-31,1
2020-09-01,2
2020-09-05,1
2020-09-06,1
2020-09-09,2
2020-09-15,2
2020-09-17,1
2020-09-18,2
2020-09-23,1
2020-09-26,1
2020-09-29,1
2020-09-30,1
2020-10-22,7
2020-11-07,1
2020-11-11,3
2020-11-12,8
2020-11-13,1
2020-11-17,1
2020-11-21,2
2020-11-23,1
