date,cases
2020-06-16,1
2020-06-18,1
2020-06-22,11
2020-06-23,9
2020-06-27,2
2020-06-30,2
2020-07-01,7
2020-07-02,1
2020-07-04,1
2020-07-08,3
2020-07-09,2
2020-07-10,8
2020-07-11,4
2020-07-12,6
2020-07-13,14
2020-07-14,6
2020-07-16,10
2020-07-17,22
2020-07-21,2
2020-07-22,22
2020-07-23,4
2020-07-24,2
2020-07-25,3
2020-07-26,34
2020-07-27,42
2020-07-28,12
2020-07-29,1
2020-07-30,3
2020-07-31,1
2020-08-01,7
2020-08-02,4
2020-08-03,17
2020-08-04,32
2020-08-05,3
2020-08-06,5
2020-08-07,2
2020-08-08,2
2020-08-11,4
2020-08-13,1
2020-08-14,1
2020-08-15,3
2020-08-16,1
2020-08-20,3
2020-08-24,7
2020-08-25,1
2020-08-26,2
2020-08-27,6
2020-08-28,6
2020-08-29,7
2020-08-30,3
2020-08-31,4
2020-09-01,1
2020-09-03,7
2020-09-04,13
2020-09-05,1
2020-09-06,5
2020-09-08,2
2020-09-10,8
2020-09-11,4
2020-09-12,2
2020-09-14,1
2020-09-15,15
2020-09-16,15
2020-09-17,1
2020-09-25,1
2020-09-26,5
2020-09-27,1
2020-09-29,14
2020-09-30,1
2020-10-02,1
2020-10-03,1
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-09,1
2020-10-11,1
2020-10-14,3
2020-10-16,3
2020-10-20,3
2020-10-22,2
2020-10-24,1
2020-10-25,5
2020-10-26,6
2020-10-29,2
2020-10-30,1
2020-11-03,1
2020-11-04,5
2020-11-06,1
2020-11-09,1
