date,cases
2020-06-03,1
2020-06-23,1
2020-06-27,1
2020-06-29,1
2020-07-03,2
2020-07-05,1
2020-07-08,2
2020-07-13,2
2020-07-14,1
2020-07-17,1
2020-07-18,3
2020-07-19,1
2020-07-21,3
2020-07-22,3
2020-07-23,2
2020-07-25,7
2020-07-26,5
2020-07-27,2
2020-07-28,2
2020-07-29,18
2020-07-30,1
2020-07-31,2
2020-08-04,4
2020-08-05,3
2020-08-06,1
2020-08-07,1
2020-08-08,12
2020-08-14,2
2020-08-18,3
2020-08-21,1
2020-08-22,5
2020-08-23,1
2020-08-24,3
2020-08-26,1
2020-08-27,1
2020-08-28,13
2020-08-29,7
2020-08-31,10
2020-09-03,3
2020-09-05,1
2020-09-06,2
2020-09-08,3
2020-09-10,4
2020-09-14,1
2020-09-21,1
2020-09-22,2
2020-09-23,1
2020-09-24,1
2020-09-26,1
2020-09-28,1
2020-09-29,1
2020-09-30,3
2020-10-01,1
2020-10-02,2
2020-10-03,1
2020-10-10,1
2020-10-11,1
2020-10-12,4
2020-10-13,1
2020-10-14,2
2020-10-15,1
2020-10-16,4
2020-10-18,1
2020-10-19,18
2020-10-20,3
2020-10-21,3
2020-10-22,1
2020-10-23,9
2020-10-24,2
2020-10-25,2
2020-10-26,1
2020-10-28,1
2020-10-29,2
2020-10-30,2
2020-10-31,1
2020-11-01,3
2020-11-03,1
2020-11-05,1
2020-11-07,3
2020-11-09,1
2020-11-10,1
2020-11-12,1
2020-11-13,1
2020-11-14,2
2020-11-17,10
2020-11-18,3
2020-11-19,1
2020-11-21,1
2020-11-25,1
2020-11-26,2
2020-11-28,1
2020-12-01,1
2020-12-02,5
2020-12-03,1
2020-12-04,1
2020-12-07,6
2020-12-08,1
2020-12-10,2
2020-12-14,1
2020-12-16,3
2020-12-18,3
2020-12-19,1
2020-12-21,1
2020-12-26,1
