date,cases
2020-03-17,1
2020-08-11,1
2020-08-24,1
2020-08-26,1
2020-09-02,2
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-11,2
2020-09-12,2
2020-09-15,1
2020-09-22,2
2020-09-23,4
2020-09-24,5
2020-09-28,1
2020-09-29,1
2020-09-30,4
2020-10-01,1
2020-10-02,3
2020-10-05,3
2020-10-06,4
2020-10-07,2
2020-10-08,2
2020-10-09,3
2020-10-10,4
2020-10-13,1
2020-10-14,4
2020-10-15,7
2020-10-16,2
2020-10-17,4
2020-10-18,2
2020-10-19,2
2020-10-20,4
2020-10-21,7
2020-10-22,4
2020-10-23,5
2020-10-24,5
2020-10-26,4
2020-10-27,10
2020-10-28,3
2020-10-29,1
2020-10-30,5
2020-10-31,4
2020-11-03,3
2020-11-04,1
2020-11-05,1
2020-11-06,7
2020-11-07,1
2020-11-09,3
2020-11-11,1
2020-11-13,1
2020-11-15,1
2020-11-18,4
2020-11-19,1
2020-11-20,1
2020-11-21,2
2020-11-23,2
2020-11-24,2
2020-11-25,1
2020-11-26,2
2020-11-27,1
2020-11-28,1
2020-11-30,1
2020-12-01,3
2020-12-02,1
2020-12-03,1
2020-12-05,2
2020-12-07,1
2020-12-10,3
2020-12-11,4
