date,cases
2020-05-01,1
2020-05-05,1
2020-05-26,4
2020-06-06,1
2020-06-09,1
2020-06-10,1
2020-06-15,1
2020-06-16,3
2020-06-18,1
2020-06-20,10
2020-06-21,1
2020-06-22,7
2020-06-23,1
2020-06-24,2
2020-06-25,2
2020-06-26,8
2020-06-27,13
2020-06-28,3
2020-06-29,4
2020-06-30,4
2020-07-01,4
2020-07-02,2
2020-07-03,9
2020-07-04,2
2020-07-05,3
2020-07-06,5
2020-07-07,2
2020-07-08,9
2020-07-09,3
2020-07-10,5
2020-07-12,9
2020-07-13,11
2020-07-14,8
2020-07-15,6
2020-07-16,33
2020-07-17,14
2020-07-18,45
2020-07-19,12
2020-07-20,8
2020-07-21,7
2020-07-22,3
2020-07-23,7
2020-07-24,11
2020-07-25,19
2020-07-26,11
2020-07-27,6
2020-07-28,17
2020-07-29,2
2020-07-30,6
2020-07-31,6
2020-08-01,25
2020-08-02,12
2020-08-03,12
2020-08-04,20
2020-08-05,5
2020-08-06,4
2020-08-07,9
2020-08-08,8
2020-08-09,2
2020-08-10,4
2020-08-11,2
2020-08-12,7
2020-08-13,1
2020-08-15,1
2020-08-16,9
2020-08-17,7
2020-08-18,2
2020-08-19,1
2020-08-20,2
2020-08-21,7
2020-08-23,1
2020-08-24,9
2020-08-25,3
2020-08-26,3
2020-08-27,2
2020-08-29,6
2020-08-30,1
2020-08-31,1
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-04,5
2020-09-05,5
2020-09-07,8
2020-09-08,3
2020-09-09,1
2020-09-11,3
2020-09-15,2
2020-09-17,1
2020-09-18,1
2020-09-19,1
2020-09-21,1
2020-09-22,3
2020-09-24,1
2020-09-26,2
2020-09-28,2
2020-09-29,4
2020-10-02,4
2020-10-06,1
2020-10-07,1
2020-10-09,1
2020-10-11,1
2020-10-15,2
2020-10-16,1
2020-10-17,9
2020-10-19,1
2020-10-23,1
2020-10-27,1
