date,cases
2020-05-24,1
2020-05-30,3
2020-06-02,1
2020-06-06,5
2020-06-07,1
2020-06-09,2
2020-06-10,18
2020-06-11,5
2020-06-12,1
2020-06-13,1
2020-06-14,2
2020-06-15,3
2020-06-16,1
2020-06-17,1
2020-06-18,4
2020-06-21,1
2020-06-22,1
2020-06-23,4
2020-06-24,3
2020-06-25,1
2020-07-01,2
2020-07-04,3
2020-07-05,3
2020-07-06,1
2020-07-07,1
2020-07-08,3
2020-07-09,2
2020-07-10,4
2020-07-11,2
2020-07-12,24
2020-07-13,1
2020-07-14,3
2020-07-15,3
2020-07-16,6
2020-07-17,5
2020-07-18,5
2020-07-19,1
2020-07-20,3
2020-07-21,2
2020-07-22,13
2020-07-23,23
2020-07-24,10
2020-07-25,34
2020-07-26,1
2020-07-27,6
2020-07-28,12
2020-07-29,20
2020-07-30,5
2020-07-31,3
2020-08-01,4
2020-08-02,2
2020-08-03,3
2020-08-05,4
2020-08-06,13
2020-08-10,1
2020-08-12,1
2020-08-13,1
2020-08-15,3
2020-08-16,1
2020-08-18,2
2020-08-19,1
2020-08-21,1
2020-08-22,1
2020-08-23,3
2020-08-24,2
2020-08-25,2
2020-08-28,2
2020-08-29,1
2020-08-31,2
2020-09-01,2
2020-09-04,5
2020-09-05,1
2020-09-06,3
2020-09-08,2
2020-09-10,3
2020-09-11,8
2020-09-12,1
2020-09-13,2
2020-09-16,1
2020-09-19,1
2020-09-23,1
2020-09-24,1
2020-10-02,3
2020-10-08,1
2020-10-09,1
2020-10-16,4
2020-10-23,1
2020-10-29,1
2020-10-31,1
2020-11-08,1
2020-11-12,2
2020-11-18,1
2020-11-23,2
2020-11-26,2
2020-11-28,2
2020-11-29,1
2020-11-30,2
2020-12-01,2
