date,cases
2020-04-16,1
2020-04-21,1
2020-04-22,4
2020-04-23,1
2020-04-24,1
2020-04-27,1
2020-04-29,1
2020-04-30,3
2020-05-01,1
2020-05-05,1
2020-05-07,1
2020-05-08,2
2020-05-13,1
2020-05-14,1
2020-05-20,1
2020-05-21,1
2020-06-04,1
2020-06-14,1
2020-06-18,1
2020-06-19,2
2020-06-23,8
2020-06-24,1
2020-06-25,2
2020-06-26,1
2020-06-27,2
2020-06-28,1
2020-06-29,6
2020-06-30,7
2020-07-01,6
2020-07-02,8
2020-07-03,16
2020-07-04,21
2020-07-05,21
2020-07-06,28
2020-07-07,34
2020-07-08,44
2020-07-09,41
2020-07-10,27
2020-07-11,18
2020-07-12,23
2020-07-13,110
2020-07-14,56
2020-07-15,70
2020-07-16,108
2020-07-17,79
2020-07-18,67
2020-07-19,70
2020-07-20,88
2020-07-21,115
2020-07-22,102
2020-07-23,83
2020-07-24,141
2020-07-25,95
2020-07-26,58
2020-07-27,72
2020-07-28,127
2020-07-29,160
2020-07-30,106
2020-07-31,126
2020-08-01,87
2020-08-02,50
2020-08-03,176
2020-08-04,164
2020-08-05,112
2020-08-06,160
2020-08-07,61
2020-08-08,74
2020-08-09,44
2020-08-10,104
2020-08-11,121
2020-08-12,149
2020-08-13,116
2020-08-14,116
2020-08-15,76
2020-08-16,81
2020-08-17,127
2020-08-18,95
2020-08-19,109
2020-08-20,109
2020-08-21,86
2020-08-22,33
2020-08-23,58
2020-08-24,92
2020-08-25,124
2020-08-26,38
2020-08-27,147
2020-08-28,68
2020-08-29,53
2020-08-30,30
2020-08-31,36
2020-09-01,62
2020-09-02,48
2020-09-03,63
2020-09-04,44
2020-09-05,41
2020-09-06,38
2020-09-07,21
2020-09-08,41
2020-09-09,55
2020-09-10,54
2020-09-11,63
2020-09-12,45
2020-09-13,70
2020-09-14,66
2020-09-15,71
2020-09-16,48
2020-09-17,73
2020-09-18,89
2020-09-19,31
2020-09-20,49
2020-09-21,110
2020-09-22,56
2020-09-23,53
2020-09-24,39
2020-09-25,33
2020-09-26,47
2020-09-27,32
2020-09-28,54
2020-09-29,45
2020-09-30,155
2020-10-01,48
2020-10-02,27
2020-10-03,44
2020-10-04,32
2020-10-05,136
2020-10-06,48
2020-10-07,63
2020-10-08,38
2020-10-09,89
2020-10-10,39
2020-10-11,24
2020-10-12,29
2020-10-13,30
2020-10-14,44
2020-10-15,39
2020-10-16,62
2020-10-17,52
2020-10-18,41
2020-10-19,52
2020-10-20,84
2020-10-21,75
2020-10-22,134
2020-10-23,39
2020-10-24,18
2020-10-25,11
2020-10-26,54
2020-10-27,22
2020-10-28,15
2020-10-29,17
2020-10-30,9
2020-10-31,2
2020-11-01,3
