date,cases
2020-07-23,1
2020-07-26,1
2020-07-29,1
2020-07-31,1
2020-08-01,2
2020-08-02,2
2020-08-06,1
2020-08-11,2
2020-08-12,1
2020-08-13,2
2020-08-14,1
2020-08-15,1
2020-08-17,1
2020-08-19,1
2020-08-20,2
2020-08-22,4
2020-08-24,2
2020-08-25,2
2020-08-28,1
2020-08-29,1
2020-08-31,1
2020-09-04,2
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-10,1
2020-09-11,1
2020-09-17,2
2020-09-18,1
2020-09-19,1
2020-09-22,1
2020-09-25,1
2020-09-26,1
2020-09-27,1
2020-10-03,2
2020-10-04,2
2020-10-05,1
2020-10-13,1
2020-10-15,2
2020-10-17,1
2020-10-18,1
2020-10-21,1
2020-10-27,1
2020-10-28,2
2020-10-29,2
2020-10-30,1
2020-11-04,1
2020-11-05,1
2020-11-07,1
