date,cases
2020-04-02,1
2020-04-12,1
2020-04-20,1
2020-04-23,1
2020-04-27,4
2020-04-29,1
2020-05-01,1
2020-05-02,7
2020-05-06,4
2020-05-07,1
2020-05-10,1
2020-05-12,1
2020-05-21,1
2020-06-30,2
2020-07-01,3
2020-07-02,1
2020-07-03,1
2020-07-06,6
2020-07-07,3
2020-07-08,2
2020-07-09,7
2020-07-11,2
2020-07-12,23
2020-07-14,7
2020-07-17,6
2020-07-20,21
2020-07-21,4
2020-07-22,21
2020-07-23,1
2020-07-24,1
2020-07-26,1
2020-07-27,1
2020-07-28,7
2020-07-29,6
2020-07-30,8
2020-07-31,15
2020-08-01,4
2020-08-03,3
2020-08-04,5
2020-08-05,5
2020-08-06,2
2020-08-07,1
2020-08-09,29
2020-08-10,5
2020-08-11,4
2020-08-12,2
2020-08-13,4
2020-08-14,7
2020-08-15,9
2020-08-22,2
2020-08-24,1
2020-08-26,2
2020-08-28,2
2020-09-01,1
2020-09-02,1
2020-09-03,1
2020-09-04,2
2020-09-08,2
2020-09-09,2
2020-09-10,1
2020-09-11,2
2020-09-12,4
2020-09-14,2
2020-09-15,1
2020-09-16,2
2020-09-17,1
2020-09-18,1
2020-09-21,1
2020-09-22,1
2020-09-23,2
2020-09-25,1
2020-09-27,1
2020-09-28,3
2020-09-29,3
2020-09-30,2
2020-10-01,1
2020-10-02,4
2020-10-04,4
2020-10-06,2
2020-10-08,2
2020-10-09,1
2020-10-10,3
2020-10-11,1
2020-10-12,2
2020-10-14,3
2020-10-16,2
2020-10-17,2
2020-10-18,2
2020-10-19,2
2020-10-21,2
2020-10-22,4
2020-10-23,3
2020-10-24,2
2020-10-25,2
2020-10-26,5
2020-10-27,4
2020-10-28,2
2020-10-30,2
2020-10-31,1
2020-11-01,2
2020-11-02,2
2020-11-03,1
2020-11-05,3
2020-11-06,6
2020-11-07,1
2020-11-08,4
2020-11-09,2
2020-11-10,1
2020-11-11,1
2020-11-12,3
2020-11-13,3
2020-11-15,1
2020-11-18,1
2020-11-19,1
2020-11-20,2
2020-11-21,2
2020-11-22,1
2020-11-23,1
2020-11-24,1
2020-11-25,2
2020-11-29,1
2020-12-01,1
2020-12-07,2
2020-12-08,2
2020-12-09,2
2020-12-12,2
2020-12-13,2
2020-12-17,1
2020-12-18,1
2020-12-20,1
2020-12-24,1
2020-12-27,1
2020-12-28,1
