date,cases
2020-05-28,1
2020-05-29,2
2020-06-05,1
2020-06-19,1
2020-07-03,1
2020-07-07,4
2020-07-08,7
2020-07-10,2
2020-07-11,3
2020-07-13,15
2020-07-14,1
2020-07-15,4
2020-07-16,1
2020-07-17,5
2020-07-21,5
2020-07-23,2
2020-07-25,1
2020-07-26,2
2020-07-27,6
2020-07-30,1
2020-08-01,3
2020-08-07,1
2020-08-18,1
2020-08-23,6
2020-08-27,13
2020-08-28,5
2020-09-02,1
2020-09-06,1
2020-09-10,2
2020-09-15,1
2020-09-16,1
2020-09-25,1
2020-09-28,1
2020-09-30,1
2020-10-18,1
2020-11-01,1
2020-11-05,1
2020-11-09,2
2020-11-13,1
2020-11-14,4
2020-11-18,1
2020-11-23,1
2020-11-26,5
2020-11-27,1
2020-12-02,7
2020-12-03,4
