date,cases
2020-06-18,1
2020-06-26,1
2020-06-28,1
2020-07-08,3
2020-07-11,1
2020-07-13,1
2020-07-16,1
2020-07-21,1
2020-07-23,1
2020-07-26,1
2020-07-30,1
2020-07-31,1
2020-08-03,4
2020-08-08,3
2020-08-11,2
2020-08-13,2
2020-08-14,2
2020-08-15,9
2020-08-16,3
2020-08-18,1
2020-08-20,2
2020-08-21,4
2020-08-23,1
2020-08-24,4
2020-08-29,1
2020-08-31,3
2020-09-02,2
2020-09-03,2
2020-09-04,1
2020-09-05,1
2020-09-06,1
2020-09-07,1
2020-09-08,1
2020-09-10,5
2020-09-11,1
2020-09-12,5
2020-09-13,2
2020-09-14,2
2020-09-15,1
2020-09-16,3
2020-09-18,1
2020-09-21,4
2020-09-26,1
2020-09-27,1
2020-09-28,3
2020-09-30,1
2020-10-02,1
2020-10-03,2
2020-10-05,3
2020-10-06,3
2020-10-07,2
2020-10-08,1
2020-10-09,2
2020-10-10,1
2020-10-11,1
2020-10-13,2
2020-10-14,1
2020-10-15,3
2020-10-16,5
2020-10-17,1
2020-10-18,1
2020-10-19,6
2020-10-20,2
2020-10-22,1
2020-10-23,4
2020-10-24,1
2020-10-27,1
2020-10-29,1
2020-10-30,6
2020-10-31,2
2020-11-01,2
2020-11-02,1
2020-11-04,2
2020-11-05,2
2020-11-07,3
2020-11-08,1
2020-11-09,3
2020-11-13,2
2020-11-14,1
2020-11-15,3
2020-11-16,1
2020-11-17,1
2020-11-18,3
2020-11-19,3
2020-11-20,1
2020-11-21,1
2020-11-22,6
2020-11-23,9
2020-11-24,1
2020-11-25,4
2020-11-27,1
2020-11-28,2
2020-11-30,2
2020-12-01,1
2020-12-02,4
2020-12-03,4
2020-12-07,1
2020-12-08,4
2020-12-10,2
2020-12-11,2
2020-12-12,1
2020-12-13,1
2020-12-14,3
2020-12-15,1
2020-12-17,4
2020-12-18,3
2020-12-19,1
2020-12-21,2
2020-12-22,2
2020-12-23,1
2020-12-24,3
2020-12-26,1
2020-12-28,5
