date,cases
2020-05-12,2
2020-05-19,4
2020-05-20,1
2020-05-22,1
2020-05-23,14
2020-05-27,1
2020-05-28,1
2020-05-29,2
2020-05-30,4
2020-06-08,1
2020-06-10,1
2020-06-17,1
2020-06-20,1
2020-06-22,4
2020-06-23,1
2020-06-25,12
2020-06-26,1
2020-06-27,2
2020-07-01,1
2020-07-03,1
2020-07-04,1
2020-07-07,2
2020-07-08,2
2020-07-09,23
2020-07-11,5
2020-07-13,12
2020-07-16,1
2020-07-17,1
2020-07-21,49
2020-07-23,3
2020-07-27,2
2020-07-30,5
2020-08-03,2
2020-08-06,1
2020-08-07,1
2020-08-10,1
2020-08-11,1
2020-09-05,1
2020-09-09,1
2020-09-11,1
2020-09-27,2
2020-10-03,1
2020-10-07,1
2020-10-08,1
2020-10-16,1
2020-10-22,1
2020-10-25,1
2020-11-10,3
2020-11-22,1
2020-11-23,1
2020-11-26,1
2020-12-04,1
2020-12-07,1
2020-12-08,1
2020-12-13,1
2020-12-15,1
2020-12-17,2
2020-12-22,1
