date,cases
2020-06-19,1
2020-07-06,1
2020-07-08,3
2020-07-21,1
2020-07-22,1
2020-07-29,2
2020-07-31,1
2020-08-03,1
2020-08-04,1
2020-08-10,1
2020-08-15,1
2020-08-16,1
2020-08-19,1
2020-08-22,1
2020-08-24,3
2020-08-25,3
2020-08-27,2
2020-08-28,1
2020-08-31,2
2020-09-04,1
2020-09-07,1
2020-09-09,2
2020-09-11,1
2020-09-15,2
2020-09-20,2
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-28,1
2020-10-04,1
2020-10-06,2
2020-10-07,1
2020-10-09,2
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-18,1
2020-10-19,2
2020-10-20,1
2020-10-21,1
2020-10-22,1
2020-10-26,1
2020-10-29,2
2020-10-30,1
2020-10-31,1
2020-11-03,1
2020-11-04,1
2020-11-05,7
2020-11-07,3
2020-11-08,1
2020-11-09,1
2020-11-11,1
2020-11-12,1
2020-11-18,1
2020-11-19,2
2020-11-20,14
2020-11-23,2
2020-11-27,1
2020-11-28,4
2020-11-30,1
2020-12-01,1
2020-12-03,3
2020-12-06,2
2020-12-10,2
