date,cases
2020-07-10,1
2020-07-11,1
2020-07-13,1
2020-07-20,1
2020-07-23,1
2020-07-28,3
2020-08-03,1
2020-08-15,1
2020-08-16,1
2020-08-20,3
2020-08-21,1
2020-08-22,1
2020-08-24,1
2020-08-25,6
2020-08-28,1
2020-08-29,3
2020-09-03,7
2020-09-07,2
2020-09-08,1
2020-09-10,1
2020-09-11,2
2020-09-14,1
2020-09-24,3
2020-09-27,1
2020-09-28,1
2020-09-30,2
2020-10-03,2
2020-10-05,1
2020-10-11,1
2020-10-14,1
2020-10-15,2
2020-10-18,1
2020-10-25,1
2020-10-26,1
2020-11-05,1
2020-11-26,1
2020-12-02,2
2020-12-04,1
2020-12-11,1
