date,cases
2020-04-25,2
2020-04-29,1
2020-05-04,1
2020-05-08,1
2020-05-21,2
2020-05-23,1
2020-05-28,2
2020-06-03,1
2020-06-06,1
2020-06-08,3
2020-06-12,3
2020-06-15,2
2020-06-17,2
2020-06-18,1
2020-06-22,1
2020-06-23,8
2020-06-24,8
2020-06-25,1
2020-06-27,3
2020-06-29,1
2020-06-30,4
2020-07-02,1
2020-07-03,2
2020-07-04,1
2020-07-05,6
2020-07-07,6
2020-07-08,1
2020-07-09,2
2020-07-10,1
2020-07-11,1
2020-07-13,1
2020-07-14,4
2020-07-17,6
2020-07-21,3
2020-07-22,3
2020-07-23,9
2020-07-24,1
2020-07-25,8
2020-07-26,7
2020-07-27,24
2020-07-28,8
2020-07-29,9
2020-07-30,4
2020-07-31,2
2020-08-03,21
2020-08-04,13
2020-08-06,5
2020-08-08,2
2020-08-09,2
2020-08-10,1
2020-08-11,6
2020-08-12,2
2020-08-13,21
2020-08-16,1
2020-08-18,6
2020-08-20,1
2020-08-21,1
2020-08-22,8
2020-08-25,1
2020-08-26,1
2020-08-27,4
2020-08-28,2
2020-08-31,1
2020-09-02,2
2020-09-03,2
2020-09-04,4
2020-09-06,1
2020-09-08,1
2020-09-11,4
2020-09-12,1
2020-09-13,2
2020-09-18,1
2020-09-25,1
2020-09-27,1
2020-09-28,1
2020-10-02,1
2020-10-06,2
2020-10-09,1
2020-10-11,1
2020-10-13,1
2020-10-14,1
2020-10-20,1
2020-10-21,1
2020-10-22,1
2020-11-09,3
2020-11-11,1
2020-11-17,1
2020-11-19,1
