date,cases
2020-03-12,1
2020-03-18,1
2020-03-21,1
2020-03-24,1
2020-03-25,1
2020-04-03,1
2020-04-04,1
2020-04-06,1
2020-04-09,1
2020-04-13,1
2020-04-14,2
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-28,5
2020-05-02,3
2020-05-03,1
2020-05-05,1
2020-05-07,1
2020-05-08,1
2020-05-09,3
2020-05-10,2
2020-05-12,2
2020-05-15,5
2020-05-20,1
2020-05-21,3
2020-05-22,2
2020-05-23,2
2020-05-26,3
2020-05-27,4
2020-05-28,1
2020-05-29,7
2020-06-01,3
2020-06-02,6
2020-06-03,1
2020-06-04,1
2020-06-05,5
2020-06-06,3
2020-06-08,2
2020-06-09,1
2020-06-10,5
2020-06-11,6
2020-06-12,8
2020-06-13,2
2020-06-16,3
2020-06-17,4
2020-06-18,1
2020-06-19,3
2020-06-23,6
2020-06-24,1
2020-06-25,2
2020-06-26,5
2020-06-27,1
2020-06-28,1
2020-06-29,4
2020-06-30,2
2020-07-01,8
2020-07-02,3
2020-07-03,1
2020-07-06,1
2020-07-07,5
2020-07-08,19
2020-07-09,12
2020-07-10,17
2020-07-11,6
2020-07-12,1
2020-07-13,27
2020-07-14,28
2020-07-15,20
2020-07-16,31
2020-07-17,32
2020-07-18,15
2020-07-19,8
2020-07-20,11
2020-07-21,39
2020-07-22,24
2020-07-23,12
2020-07-24,39
2020-07-25,21
2020-07-26,11
2020-07-27,9
2020-07-28,24
2020-07-29,34
2020-07-30,28
2020-07-31,44
2020-08-01,16
2020-08-02,22
2020-08-03,18
2020-08-04,18
2020-08-05,21
2020-08-06,25
2020-08-07,40
2020-08-08,22
2020-08-09,23
2020-08-10,31
2020-08-11,35
2020-08-12,19
2020-08-13,27
2020-08-14,52
2020-08-15,15
2020-08-16,57
2020-08-17,18
2020-08-18,45
2020-08-19,40
2020-08-20,45
2020-08-21,70
2020-08-22,35
2020-08-23,27
2020-08-24,81
2020-08-25,41
2020-08-26,46
2020-08-27,55
2020-08-28,40
2020-08-29,25
2020-08-30,33
2020-08-31,52
2020-09-01,68
2020-09-02,22
2020-09-03,68
2020-09-04,86
2020-09-05,31
2020-09-06,34
2020-09-07,74
2020-09-08,55
2020-09-09,70
2020-09-10,55
2020-09-11,88
2020-09-12,57
2020-09-13,56
2020-09-14,96
2020-09-15,106
2020-09-16,70
2020-09-17,46
2020-09-18,56
2020-09-19,42
2020-09-20,38
2020-09-21,137
2020-09-22,78
2020-09-23,93
2020-09-24,60
2020-09-25,53
2020-09-26,82
2020-09-27,83
2020-09-28,170
2020-09-29,97
2020-09-30,193
2020-10-01,130
2020-10-02,195
2020-10-03,116
2020-10-04,116
2020-10-05,168
2020-10-06,183
2020-10-07,168
2020-10-08,186
2020-10-09,112
2020-10-10,163
2020-10-11,101
2020-10-12,119
2020-10-13,216
2020-10-14,198
2020-10-15,238
2020-10-16,237
2020-10-17,285
2020-10-18,251
2020-10-19,299
2020-10-20,469
2020-10-21,357
2020-10-22,381
2020-10-23,365
2020-10-24,239
2020-10-25,109
2020-10-26,305
2020-10-27,211
2020-10-28,247
2020-10-29,184
2020-10-30,200
2020-10-31,98
2020-11-01,28
2020-11-02,5
2020-11-03,14
