date,cases
2020-04-27,1
2020-07-10,17
2020-07-15,1
2020-07-16,4
2020-07-17,1
2020-07-18,1
2020-07-22,6
2020-07-23,8
2020-07-24,3
2020-07-26,1
2020-07-29,5
2020-07-30,9
2020-07-31,4
2020-08-02,2
2020-08-03,3
2020-08-05,1
2020-08-06,7
2020-08-07,1
2020-08-09,1
2020-08-10,1
2020-08-11,4
2020-08-12,5
2020-08-13,1
2020-08-14,1
2020-08-15,3
2020-08-16,1
2020-08-17,1
2020-08-18,4
2020-08-19,4
2020-08-20,5
2020-08-21,2
2020-08-22,7
2020-08-24,6
2020-08-25,1
2020-08-26,4
2020-08-27,2
2020-08-28,6
2020-08-29,3
2020-09-01,3
2020-09-02,5
2020-09-03,2
2020-09-04,6
2020-09-05,1
2020-09-07,1
2020-09-08,1
2020-09-09,11
2020-09-10,5
2020-09-11,2
2020-09-12,4
2020-09-15,6
2020-09-16,3
2020-09-17,12
2020-09-18,1
2020-09-19,9
2020-09-22,1
2020-09-23,1
2020-09-24,1
2020-09-25,4
2020-09-26,1
2020-09-27,1
2020-09-28,1
2020-09-30,2
2020-10-01,1
2020-10-02,10
2020-10-03,3
2020-10-05,1
2020-10-06,1
2020-10-07,1
2020-10-08,3
2020-10-09,2
2020-10-10,1
2020-10-13,3
2020-10-14,1
2020-10-16,4
2020-10-20,7
2020-10-21,5
2020-10-22,4
2020-10-27,2
2020-10-28,3
2020-10-30,2
2020-10-31,6
2020-11-01,1
2020-11-03,27
2020-11-06,4
2020-11-07,4
2020-11-11,5
2020-11-12,1
2020-11-13,3
2020-11-17,1
2020-11-19,1
2020-11-21,12
2020-11-23,1
2020-11-24,3
2020-11-26,6
2020-12-01,2
2020-12-03,1
2020-12-04,2
2020-12-05,2
2020-12-06,23
2020-12-07,1
2020-12-08,1
2020-12-12,1
2020-12-19,1
