date,cases
2020-04-12,1
2020-04-27,2
2020-05-02,2
2020-05-10,1
2020-05-11,1
2020-05-17,1
2020-05-27,1
2020-05-31,1
2020-06-01,1
2020-06-05,1
2020-06-08,1
2020-06-15,2
2020-06-16,1
2020-06-17,1
2020-06-19,1
2020-06-23,1
2020-06-24,1
2020-06-25,3
2020-06-30,5
2020-07-01,2
2020-07-02,2
2020-07-03,3
2020-07-06,2
2020-07-07,2
2020-07-08,1
2020-07-12,3
2020-07-13,3
2020-07-14,8
2020-07-16,2
2020-07-17,3
2020-07-18,2
2020-07-21,3
2020-07-25,1
2020-07-27,1
2020-07-28,4
2020-07-29,2
2020-07-31,2
2020-08-01,2
2020-08-02,1
2020-08-03,3
2020-08-04,2
2020-08-05,2
2020-08-06,2
2020-08-07,2
2020-08-08,1
2020-08-10,7
2020-08-11,5
2020-08-12,8
2020-08-13,11
2020-08-14,7
2020-08-15,3
2020-08-16,5
2020-08-17,9
2020-08-18,5
2020-08-19,6
2020-08-20,14
2020-08-21,7
2020-08-22,1
2020-08-23,1
2020-08-24,20
2020-08-25,21
2020-08-26,3
2020-08-27,7
2020-08-28,1
2020-08-30,3
2020-08-31,5
2020-09-01,8
2020-09-02,4
2020-09-03,2
2020-09-04,2
2020-09-05,2
2020-09-07,3
2020-09-08,1
2020-09-09,5
2020-09-10,5
2020-09-11,4
2020-09-12,1
2020-09-13,2
2020-09-14,3
2020-09-15,2
2020-09-17,3
2020-09-18,5
2020-09-19,1
2020-09-21,5
2020-09-22,7
2020-09-23,4
2020-09-26,2
2020-09-27,8
2020-09-28,4
2020-09-29,1
2020-09-30,7
2020-10-01,6
2020-10-02,8
2020-10-03,4
2020-10-04,7
2020-10-05,19
2020-10-06,15
2020-10-07,15
2020-10-08,11
2020-10-09,10
2020-10-10,10
2020-10-11,2
2020-10-12,4
2020-10-13,10
2020-10-14,10
2020-10-15,18
2020-10-16,16
2020-10-17,14
2020-10-18,17
2020-10-19,23
2020-10-20,33
2020-10-21,9
2020-10-22,7
2020-10-23,9
2020-10-24,5
2020-10-25,3
2020-10-26,5
2020-10-27,4
2020-10-28,12
2020-10-29,11
2020-10-30,6
