date,cases
2020-05-15,1
2020-05-24,1
2020-06-15,1
2020-06-22,2
2020-06-23,1
2020-07-11,2
2020-07-12,3
2020-07-13,2
2020-07-17,1
2020-07-19,1
2020-07-21,1
2020-07-22,1
2020-07-23,1
2020-07-25,1
2020-07-26,1
2020-07-27,6
2020-07-28,1
2020-07-29,4
2020-07-30,4
2020-08-01,1
2020-08-02,1
2020-08-03,9
2020-08-05,69
2020-08-06,3
2020-08-07,3
2020-08-08,1
2020-08-09,10
2020-08-10,9
2020-08-11,31
2020-08-12,6
2020-08-13,13
2020-08-15,2
2020-08-16,6
2020-08-18,3
2020-08-21,8
2020-08-22,4
2020-08-23,15
2020-08-24,1
2020-08-26,3
2020-08-27,1
2020-08-28,2
2020-08-31,2
2020-09-02,1
2020-09-03,1
2020-09-05,7
2020-09-06,3
2020-09-07,5
2020-09-08,12
2020-09-10,10
2020-09-11,5
2020-09-12,7
2020-09-15,6
2020-09-16,1
2020-09-17,1
2020-09-18,3
2020-09-21,1
2020-09-22,4
2020-09-23,7
2020-09-24,1
2020-09-25,1
2020-09-27,1
2020-09-29,4
2020-10-05,1
2020-10-08,1
2020-10-18,1
2020-10-25,4
2020-10-27,1
2020-11-01,2
2020-11-06,3
2020-11-08,1
2020-11-14,2
2020-11-15,1
2020-11-18,1
2020-11-21,1
2020-11-26,1
2020-11-29,1
2020-12-01,2
2020-12-02,5
2020-12-03,1
2020-12-07,1
2020-12-11,1
2020-12-12,1
2020-12-16,1
