date,cases
2020-05-14,1
2020-05-22,1
2020-06-12,1
2020-06-14,1
2020-06-17,1
2020-06-21,1
2020-06-22,1
2020-06-25,2
2020-06-27,2
2020-06-29,1
2020-06-30,5
2020-07-01,4
2020-07-02,1
2020-07-04,13
2020-07-05,1
2020-07-06,1
2020-07-09,4
2020-07-10,5
2020-07-11,1
2020-07-12,1
2020-07-13,3
2020-07-14,4
2020-07-15,1
2020-07-16,1
2020-07-17,1
2020-07-18,3
2020-07-20,1
2020-07-21,2
2020-07-22,5
2020-07-23,2
2020-07-24,1
2020-07-27,3
2020-07-28,2
2020-07-29,5
2020-07-30,2
2020-07-31,1
2020-08-03,2
2020-08-04,1
2020-08-05,4
2020-08-06,3
2020-08-07,2
2020-08-08,1
2020-08-13,1
2020-08-14,2
2020-08-15,1
2020-08-16,5
2020-08-17,1
2020-08-19,2
2020-08-22,2
2020-08-23,1
2020-08-24,3
2020-08-28,2
2020-09-01,4
2020-09-03,1
2020-09-08,1
2020-09-09,2
2020-09-13,1
2020-09-15,1
2020-09-17,1
2020-09-18,1
2020-09-19,2
2020-09-21,2
2020-09-22,1
2020-09-26,3
2020-09-29,1
2020-10-01,1
2020-10-16,1
2020-10-25,4
2020-10-26,1
2020-10-27,1
2020-11-05,3
2020-11-08,2
2020-11-11,1
2020-11-12,1
2020-11-19,2
2020-11-20,1
2020-11-23,3
2020-11-24,1
2020-12-02,3
2020-12-08,2
2020-12-11,1
2020-12-12,1
2020-12-15,2
2020-12-20,3
2020-12-23,1
