date,cases
2020-06-13,1
2020-07-10,1
2020-07-11,2
2020-07-13,1
2020-07-15,1
2020-07-18,1
2020-07-19,8
2020-07-21,1
2020-07-22,14
2020-07-24,1
2020-07-25,8
2020-07-26,15
2020-07-28,1
2020-07-29,9
2020-07-31,1
2020-08-01,2
2020-08-02,1
2020-08-03,1
2020-08-05,1
2020-08-07,1
2020-08-08,7
2020-08-09,1
2020-08-10,1
2020-08-13,1
2020-08-14,1
2020-08-17,1
2020-08-18,1
2020-08-19,8
2020-08-20,3
2020-08-22,2
2020-08-26,1
2020-08-27,3
2020-08-28,1
2020-09-02,9
2020-09-03,9
2020-09-04,1
2020-09-07,5
2020-09-10,1
2020-09-17,13
2020-09-19,1
2020-09-21,10
2020-09-25,1
2020-09-28,1
2020-10-02,4
2020-10-08,1
2020-10-12,2
2020-10-14,2
2020-10-30,1
2020-10-31,1
2020-11-18,1
2020-11-25,1
2020-12-11,1
