date,cases
2020-05-29,1
2020-07-06,1
2020-07-08,1
2020-07-09,2
2020-07-14,1
2020-07-15,1
2020-07-17,1
2020-07-18,2
2020-07-29,1
2020-08-03,1
2020-08-08,1
2020-08-09,1
2020-08-10,1
2020-08-12,1
2020-08-14,1
2020-08-17,1
2020-08-23,1
2020-08-27,2
2020-08-31,2
2020-09-01,1
2020-09-04,1
2020-09-05,2
2020-09-07,1
2020-09-08,2
2020-09-21,1
2020-09-22,1
2020-09-28,3
2020-10-02,1
2020-10-03,1
2020-10-06,2
2020-10-13,1
2020-10-15,1
2020-10-16,1
2020-10-17,1
2020-10-19,1
2020-10-20,17
2020-10-21,3
2020-10-22,1
2020-10-23,2
2020-10-29,1
2020-10-30,1
