date,cases
2020-03-10,2
2020-03-12,1
2020-03-14,4
2020-03-15,1
2020-03-16,2
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-23,2
2020-03-24,3
2020-03-25,7
2020-03-26,3
2020-03-27,4
2020-03-28,2
2020-03-30,3
2020-04-01,2
2020-04-02,1
2020-04-03,2
2020-04-05,1
2020-04-06,1
2020-04-09,1
2020-04-11,7
2020-04-12,3
2020-04-13,2
2020-04-17,1
2020-04-20,3
2020-04-21,6
2020-04-22,5
2020-04-23,3
2020-04-24,5
2020-04-25,3
2020-04-27,2
2020-04-28,1
2020-05-02,2
2020-05-03,4
2020-05-04,1
2020-05-07,4
2020-05-08,10
2020-05-09,2
2020-05-11,1
2020-05-12,3
2020-05-13,3
2020-05-14,1
2020-05-15,2
2020-05-16,3
2020-05-18,6
2020-05-19,1
2020-05-21,5
2020-05-23,2
2020-05-25,1
2020-05-29,1
2020-05-31,2
2020-06-01,1
2020-06-02,1
2020-06-03,1
2020-06-04,2
2020-06-05,1
2020-06-06,2
2020-06-09,4
2020-06-11,4
2020-06-13,1
2020-06-14,1
2020-06-16,12
2020-06-17,1
2020-06-18,3
2020-06-19,2
2020-06-20,2
2020-06-22,1
2020-06-23,2
2020-06-25,1
2020-06-26,6
2020-06-27,1
2020-06-28,2
2020-06-29,4
2020-06-30,1
2020-07-01,4
2020-07-02,3
2020-07-03,4
2020-07-04,5
2020-07-06,12
2020-07-07,12
2020-07-08,9
2020-07-09,15
2020-07-10,11
2020-07-11,9
2020-07-12,9
2020-07-13,9
2020-07-14,15
2020-07-15,15
2020-07-16,17
2020-07-17,19
2020-07-18,23
2020-07-19,13
2020-07-20,28
2020-07-21,26
2020-07-22,34
2020-07-23,39
2020-07-24,50
2020-07-25,46
2020-07-26,42
2020-07-27,77
2020-07-28,112
2020-07-29,66
2020-07-30,79
2020-07-31,48
2020-08-01,69
2020-08-02,46
2020-08-03,79
2020-08-04,61
2020-08-05,47
2020-08-06,78
2020-08-07,57
2020-08-08,44
2020-08-09,79
2020-08-10,70
2020-08-11,167
2020-08-12,55
2020-08-13,79
2020-08-14,56
2020-08-15,126
2020-08-16,96
2020-08-17,99
2020-08-18,99
2020-08-19,83
2020-08-20,104
2020-08-21,74
2020-08-22,126
2020-08-23,75
2020-08-24,137
2020-08-25,88
2020-08-26,129
2020-08-27,81
2020-08-28,106
2020-08-29,128
2020-08-30,96
2020-08-31,126
2020-09-01,129
2020-09-02,86
2020-09-03,156
2020-09-04,222
2020-09-05,155
2020-09-06,121
2020-09-07,196
2020-09-08,142
2020-09-09,111
2020-09-10,175
2020-09-11,120
2020-09-12,180
2020-09-13,110
2020-09-14,168
2020-09-15,164
2020-09-16,84
2020-09-17,132
2020-09-18,123
2020-09-19,156
2020-09-20,121
2020-09-21,236
2020-09-22,172
2020-09-23,183
2020-09-24,168
2020-09-25,211
2020-09-26,262
2020-09-27,252
2020-09-28,363
2020-09-29,243
2020-09-30,157
2020-10-01,242
2020-10-02,198
2020-10-03,315
2020-10-04,209
2020-10-05,254
2020-10-06,282
2020-10-07,247
2020-10-08,293
2020-10-09,219
2020-10-10,182
2020-10-11,211
2020-10-12,156
2020-10-13,275
2020-10-14,184
2020-10-15,193
2020-10-16,347
2020-10-17,222
2020-10-18,208
2020-10-19,374
2020-10-20,427
2020-10-21,309
2020-10-22,358
2020-10-23,323
2020-10-24,314
2020-10-25,198
2020-10-26,311
2020-10-27,223
2020-10-28,156
2020-10-29,253
2020-10-30,184
2020-10-31,177
2020-11-01,115
2020-11-02,164
2020-11-03,202
2020-11-04,126
2020-11-05,146
2020-11-06,146
2020-11-07,118
2020-11-08,103
2020-11-09,163
2020-11-10,177
2020-11-11,88
2020-11-12,146
2020-11-13,124
2020-11-14,135
2020-11-15,81
2020-11-16,164
2020-11-17,126
2020-11-18,51
2020-11-19,112
2020-11-20,94
2020-11-21,91
2020-11-22,36
2020-11-23,118
2020-11-24,54
2020-11-25,63
2020-11-26,92
2020-11-27,48
2020-11-28,70
2020-11-29,22
2020-11-30,66
2020-12-01,43
2020-12-02,36
2020-12-03,53
2020-12-04,42
2020-12-05,47
2020-12-06,22
2020-12-07,59
2020-12-08,34
2020-12-09,65
2020-12-10,51
2020-12-11,56
2020-12-12,35
2020-12-13,24
2020-12-14,54
2020-12-15,58
2020-12-16,40
2020-12-17,3
