date,cases
2020-05-16,1
2020-07-08,1
2020-07-27,1
2020-07-28,1
2020-07-29,3
2020-07-30,1
2020-07-31,2
2020-08-07,1
2020-08-09,3
2020-08-10,1
2020-08-11,1
2020-08-18,1
2020-08-21,2
2020-08-23,1
2020-08-24,1
2020-08-26,1
2020-08-27,2
2020-08-28,2
2020-09-01,1
2020-09-04,6
2020-09-08,2
2020-09-11,1
2020-09-13,1
2020-09-15,1
2020-09-16,1
2020-09-18,1
2020-09-20,1
2020-09-22,1
2020-09-23,2
2020-09-26,1
2020-09-28,1
2020-10-01,2
2020-10-02,1
2020-10-03,4
2020-10-05,1
2020-10-09,1
2020-10-10,1
2020-10-11,2
2020-10-13,1
2020-10-14,2
2020-10-15,1
2020-10-16,2
2020-10-17,1
2020-10-20,2
2020-10-21,4
2020-10-22,5
2020-10-23,2
2020-10-24,3
2020-10-26,5
2020-10-27,6
2020-10-29,4
2020-10-30,2
2020-10-31,1
2020-11-02,1
2020-11-03,3
2020-11-04,5
2020-11-05,16
2020-11-07,1
2020-11-09,1
2020-11-10,2
2020-11-11,1
2020-11-12,1
2020-11-13,1
2020-11-14,1
2020-11-15,1
2020-11-16,2
2020-11-17,1
2020-11-18,5
2020-11-19,1
2020-11-20,2
2020-11-21,6
2020-11-22,1
2020-11-23,1
2020-11-24,2
2020-11-25,2
2020-11-26,3
2020-11-27,1
2020-11-28,2
2020-11-29,1
2020-11-30,2
2020-12-01,3
2020-12-04,3
2020-12-06,1
2020-12-08,2
2020-12-09,4
2020-12-10,1
2020-12-12,2
2020-12-13,2
2020-12-14,1
