date,cases
2020-05-26,1
2020-07-01,1
2020-07-04,2
2020-07-05,2
2020-07-06,2
2020-07-07,6
2020-07-08,1
2020-07-10,5
2020-07-11,2
2020-07-12,1
2020-07-13,3
2020-07-14,2
2020-07-16,1
2020-07-17,6
2020-07-18,6
2020-07-19,3
2020-07-20,9
2020-07-21,1
2020-07-22,1
2020-07-23,3
2020-07-24,6
2020-07-27,1
2020-07-28,1
2020-07-29,3
2020-07-30,1
2020-07-31,1
2020-08-03,3
2020-08-04,2
2020-08-05,10
2020-08-06,1
2020-08-07,2
2020-08-08,1
2020-08-09,9
2020-08-11,2
2020-08-12,2
2020-08-13,2
2020-08-14,2
2020-08-15,2
2020-08-18,6
2020-08-19,1
2020-08-20,1
2020-08-24,11
2020-08-27,1
2020-08-28,5
2020-09-01,2
2020-09-02,4
2020-09-03,2
2020-09-04,2
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-10,4
2020-09-11,1
2020-09-14,1
2020-09-15,4
2020-09-17,1
2020-09-19,2
2020-09-20,1
2020-09-21,1
2020-09-22,3
2020-09-23,1
2020-09-27,1
2020-09-28,1
2020-09-30,6
2020-10-01,1
2020-10-02,1
2020-10-03,1
2020-10-07,1
2020-10-08,2
2020-10-09,1
2020-10-11,1
2020-10-12,1
2020-10-13,1
2020-10-15,1
2020-10-18,1
2020-10-19,2
2020-10-20,2
2020-10-22,1
2020-10-23,2
2020-10-26,1
2020-10-30,1
2020-11-03,2
2020-11-06,2
2020-11-08,1
2020-11-09,1
2020-11-12,2
2020-11-17,3
2020-11-18,2
2020-11-19,2
2020-11-20,1
2020-11-23,1
2020-11-24,1
2020-11-26,1
2020-11-27,2
2020-11-30,1
2020-12-01,1
2020-12-03,1
2020-12-09,1
2020-12-10,2
2020-12-11,1
2020-12-17,1
