date,cases
2020-07-07,1
2020-07-26,2
2020-07-28,2
2020-08-01,1
2020-08-04,5
2020-08-05,1
2020-08-06,4
2020-08-13,1
2020-08-29,1
2020-09-08,2
2020-09-11,5
2020-09-12,4
2020-09-13,20
2020-09-14,1
2020-09-15,2
2020-09-17,4
2020-09-18,3
2020-09-21,2
2020-09-22,3
2020-09-23,1
2020-09-25,15
2020-09-26,3
2020-09-27,3
2020-09-28,7
2020-09-29,3
2020-09-30,2
2020-10-02,1
2020-10-06,1
2020-10-07,1
2020-10-08,2
2020-10-09,10
2020-10-10,4
2020-10-11,1
2020-10-13,2
2020-10-16,2
2020-10-17,2
2020-10-19,1
2020-10-22,2
2020-10-24,1
2020-10-27,2
2020-10-29,2
2020-10-31,1
2020-11-01,2
2020-11-10,2
2020-11-14,1
2020-12-04,1
2020-12-07,2
2020-12-11,1
2020-12-12,1
2020-12-14,3
