date,cases
2020-06-27,2
2020-07-02,1
2020-07-04,1
2020-07-05,1
2020-07-06,7
2020-07-07,2
2020-07-08,2
2020-07-09,3
2020-07-16,4
2020-07-17,5
2020-07-18,6
2020-07-20,5
2020-07-21,6
2020-07-22,15
2020-07-23,1
2020-07-24,2
2020-07-25,6
2020-07-26,4
2020-07-27,3
2020-07-29,1
2020-07-31,2
2020-08-02,4
2020-08-03,1
2020-08-04,4
2020-08-06,1
2020-08-07,1
2020-08-08,7
2020-08-09,2
2020-08-10,3
2020-08-11,2
2020-08-12,1
2020-08-14,2
2020-08-16,4
2020-08-17,1
2020-08-18,6
2020-08-19,6
2020-08-21,5
2020-08-22,10
2020-08-23,6
2020-08-24,6
2020-08-25,4
2020-08-26,4
2020-08-27,11
2020-08-28,1
2020-09-01,1
2020-09-02,18
2020-09-03,4
2020-09-04,3
2020-09-06,4
2020-09-07,2
2020-09-08,3
2020-09-09,19
2020-09-10,2
2020-09-11,3
2020-09-12,2
2020-09-14,3
2020-09-15,19
2020-09-16,1
2020-09-17,4
2020-09-18,10
2020-09-19,22
2020-09-20,4
2020-09-21,14
2020-09-22,9
2020-09-23,2
2020-09-24,9
2020-09-25,6
2020-09-26,33
2020-09-27,6
2020-09-28,10
2020-09-29,8
2020-09-30,8
2020-10-01,1
2020-10-02,15
2020-10-03,3
2020-10-04,7
2020-10-05,11
2020-10-06,12
2020-10-07,4
2020-10-08,8
2020-10-09,6
2020-10-10,2
2020-10-11,3
2020-10-12,8
2020-10-13,5
2020-10-14,12
2020-10-15,5
2020-10-16,10
2020-10-17,4
2020-10-18,3
2020-10-19,26
2020-10-20,17
2020-10-21,12
2020-10-22,12
2020-10-23,23
2020-10-24,13
2020-10-25,10
2020-10-26,17
2020-10-27,12
2020-10-28,9
2020-10-29,9
2020-10-30,4
2020-10-31,3
2020-11-01,6
2020-11-02,5
2020-11-03,9
2020-11-04,8
2020-11-05,5
2020-11-06,5
2020-11-07,3
2020-11-08,6
2020-11-09,6
2020-11-10,17
2020-11-11,1
2020-11-12,4
2020-11-13,6
2020-11-14,2
2020-11-15,4
2020-11-16,6
2020-11-19,3
2020-11-20,1
2020-11-25,1
2020-11-26,4
2020-11-27,1
2020-11-28,1
2020-11-29,1
2020-11-30,3
2020-12-01,1
2020-12-02,6
2020-12-03,4
2020-12-04,1
2020-12-05,8
2020-12-07,12
2020-12-10,3
2020-12-11,3
2020-12-12,4
2020-12-13,2
2020-12-15,2
2020-12-16,4
2020-12-17,1
2020-12-18,4
2020-12-19,2
2020-12-20,3
2020-12-21,3
2020-12-22,1
2020-12-23,4
2020-12-24,1
2020-12-28,1
2020-12-30,1
2020-12-31,2
2021-01-04,4
