date,cases
2020-05-07,1
2020-07-15,3
2020-07-16,1
2020-07-24,1
2020-07-25,1
2020-08-01,2
2020-08-02,1
2020-08-03,2
2020-08-04,2
2020-08-05,2
2020-08-07,2
2020-08-09,3
2020-08-10,17
2020-08-11,15
2020-08-12,7
2020-08-13,1
2020-08-14,27
2020-08-15,4
2020-08-16,1
2020-08-17,2
2020-08-18,2
2020-08-19,6
2020-08-20,3
2020-08-21,1
2020-08-22,6
2020-08-23,2
2020-08-24,3
2020-08-25,4
2020-08-26,7
2020-08-27,1
2020-08-28,1
2020-08-29,1
2020-08-30,7
2020-08-31,3
2020-09-01,1
2020-09-05,1
2020-09-10,1
2020-09-12,1
2020-09-15,1
2020-09-17,2
2020-09-19,1
2020-09-22,3
2020-09-27,1
2020-10-19,1
