date,cases
2020-05-13,1
2020-05-25,1
2020-07-22,1
2020-07-27,1
2020-07-28,8
2020-07-29,1
2020-07-30,1
2020-08-01,2
2020-08-03,2
2020-08-04,6
2020-08-06,5
2020-08-07,1
2020-08-08,1
2020-08-10,2
2020-08-11,1
2020-08-13,1
2020-08-14,5
2020-08-15,1
2020-08-16,6
2020-08-18,1
2020-08-19,2
2020-08-20,1
2020-08-22,1
2020-08-24,4
2020-08-25,1
2020-08-26,1
2020-08-27,4
2020-08-28,32
2020-08-29,14
2020-08-30,2
2020-09-01,1
2020-09-02,4
2020-09-03,3
2020-09-04,2
2020-09-05,2
2020-09-06,3
2020-09-07,2
2020-09-08,5
2020-09-09,5
2020-09-10,10
2020-09-11,6
2020-09-12,2
2020-09-13,7
2020-09-14,1
2020-09-15,1
2020-09-16,2
2020-09-17,6
2020-09-18,8
2020-09-19,2
2020-09-20,2
2020-09-21,7
2020-09-22,3
2020-09-24,4
2020-09-25,11
2020-09-26,3
2020-09-27,2
2020-09-28,10
2020-09-29,5
2020-09-30,3
2020-10-01,2
2020-10-02,11
2020-10-03,4
2020-10-04,6
2020-10-05,3
2020-10-07,3
2020-10-08,2
2020-10-09,18
2020-10-10,4
2020-10-11,3
2020-10-13,10
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-17,4
2020-10-19,8
2020-10-20,22
2020-10-21,2
2020-10-22,2
2020-10-23,2
2020-10-24,1
2020-10-25,3
2020-10-26,1
2020-10-27,3
2020-10-28,5
2020-10-29,3
2020-10-30,5
2020-11-03,2
2020-11-04,2
2020-11-05,2
2020-11-06,12
2020-11-07,3
2020-11-08,1
2020-11-10,1
2020-11-12,3
2020-11-13,13
2020-11-14,1
2020-11-19,7
2020-11-25,1
