date,cases
2020-07-14,1
2020-07-22,1
2020-07-25,5
2020-08-05,1
2020-09-04,1
2020-09-10,1
2020-09-13,4
2020-09-18,1
2020-09-19,1
2020-09-23,13
2020-09-24,1
2020-09-26,1
2020-09-27,1
2020-09-28,1
2020-09-29,4
2020-10-01,1
2020-10-04,1
2020-10-06,1
2020-10-07,1
2020-10-08,3
2020-10-10,2
2020-10-12,1
2020-10-13,5
2020-10-14,4
2020-10-15,1
2020-10-17,1
2020-10-18,1
2020-10-19,14
2020-10-20,6
2020-10-21,1
2020-10-22,1
2020-10-23,3
2020-10-25,1
2020-10-26,1
2020-10-27,8
2020-10-28,1
2020-10-29,1
2020-10-30,3
2020-10-31,13
2020-11-02,4
2020-11-03,1
2020-11-04,8
2020-11-05,1
2020-11-06,16
2020-11-07,14
2020-11-09,8
2020-11-10,6
2020-11-11,21
2020-11-13,17
2020-11-18,1
2020-11-19,1
2020-11-20,9
2020-11-22,1
2020-11-23,14
2020-11-24,4
2020-11-26,4
2020-11-27,1
2020-12-01,2
2020-12-02,1
2020-12-04,1
2020-12-07,2
