date,cases
2020-04-13,1
2020-06-17,1
2020-06-18,1
2020-06-21,8
2020-06-23,2
2020-07-09,1
2020-07-10,2
2020-07-18,2
2020-07-22,2
2020-07-23,1
2020-07-29,1
2020-08-04,1
2020-08-20,4
2020-08-21,1
2020-09-01,1
2020-09-02,1
2020-09-11,3
2020-09-28,2
2020-10-03,1
2020-10-07,1
2020-10-11,1
2020-10-15,2
2020-10-18,1
2020-10-20,1
2020-10-21,3
2020-10-26,3
2020-10-29,1
2020-10-30,1
2020-11-01,1
2020-11-03,1
2020-11-08,2
2020-11-09,1
2020-11-13,1
2020-11-14,1
2020-11-20,1
2020-11-21,1
2020-11-23,3
2020-11-24,1
2020-11-26,1
2020-12-02,1
2020-12-10,2
2020-12-14,3
