date,cases
2020-03-31,1
2020-04-15,1
2020-04-24,2
2020-05-30,1
2020-06-03,1
2020-06-05,5
2020-06-19,1
2020-06-30,1
2020-07-11,1
2020-07-17,1
2020-07-21,1
2020-07-24,3
2020-07-27,1
2020-07-29,1
2020-07-30,2
2020-07-31,1
2020-08-01,3
2020-08-03,1
2020-08-04,1
2020-08-06,1
2020-08-07,1
2020-08-09,2
2020-08-10,2
2020-08-11,1
2020-08-14,5
2020-08-15,6
2020-08-16,1
2020-08-17,4
2020-08-19,3
2020-08-20,2
2020-08-21,3
2020-08-24,4
2020-08-25,2
2020-08-27,1
2020-08-29,2
2020-08-30,2
2020-08-31,1
2020-09-01,3
2020-09-02,7
2020-09-03,4
2020-09-04,3
2020-09-07,4
2020-09-08,3
2020-09-09,1
2020-09-11,4
2020-09-12,4
2020-09-13,9
2020-09-14,4
2020-09-15,4
2020-09-16,3
2020-09-17,2
2020-09-18,2
2020-09-19,3
2020-09-21,1
2020-09-22,2
2020-09-23,3
2020-09-26,3
2020-09-28,1
2020-09-29,8
2020-09-30,4
2020-10-01,3
2020-10-02,1
2020-10-03,1
2020-10-05,1
2020-10-06,2
2020-10-08,3
2020-10-11,1
2020-10-13,1
2020-10-14,5
2020-10-15,2
2020-10-19,5
2020-10-20,4
2020-10-21,1
2020-10-22,5
2020-10-23,1
2020-10-24,2
2020-10-26,2
2020-10-27,1
2020-10-29,1
2020-10-30,3
2020-10-31,1
2020-11-01,1
2020-11-02,1
2020-11-04,1
2020-11-05,2
2020-11-09,1
2020-11-10,4
2020-11-14,1
2020-11-16,2
2020-11-17,1
2020-11-18,1
2020-11-20,1
2020-11-23,1
2020-12-01,5
2020-12-02,2
2020-12-03,1
2020-12-10,1
2020-12-11,1
2020-12-12,1
