date,cases
2020-05-15,1
2020-05-17,2
2020-06-06,1
2020-07-01,1
2020-07-11,3
2020-07-13,1
2020-07-15,1
2020-07-18,1
2020-07-21,1
2020-07-24,5
2020-07-25,2
2020-07-27,8
2020-08-04,2
2020-08-05,2
2020-08-13,1
2020-08-14,1
2020-08-17,1
2020-08-18,3
2020-08-20,4
2020-08-21,1
2020-09-03,2
2020-09-09,1
2020-09-14,1
2020-09-17,2
2020-09-19,1
2020-09-21,1
2020-09-24,1
2020-10-01,1
2020-10-02,1
2020-10-05,2
2020-10-06,1
2020-10-07,1
2020-10-09,2
2020-10-13,1
2020-10-18,1
2020-10-19,1
2020-10-20,3
2020-10-21,2
2020-10-22,1
2020-10-23,3
2020-10-27,2
2020-10-29,1
2020-10-30,4
2020-11-01,1
2020-11-03,4
2020-11-04,1
2020-11-05,1
2020-11-06,1
2020-11-11,3
2020-11-12,2
2020-11-13,1
2020-11-14,4
2020-11-17,2
2020-11-18,2
2020-11-19,1
2020-11-21,2
2020-11-25,1
2020-11-27,1
2020-11-28,2
2020-11-30,2
2020-12-01,9
2020-12-03,1
2020-12-04,1
2020-12-05,1
2020-12-06,3
2020-12-07,1
2020-12-09,2
2020-12-13,2
2020-12-14,1
2020-12-16,1
