date,cases
2020-07-04,1
2020-07-07,1
2020-07-08,1
2020-07-09,3
2020-07-19,6
2020-07-20,7
2020-07-24,4
2020-07-26,1
2020-07-27,8
2020-07-30,11
2020-08-03,7
2020-08-04,1
2020-08-06,2
2020-08-07,1
2020-08-08,1
2020-08-11,1
2020-08-12,5
2020-08-14,1
2020-08-15,6
2020-08-17,8
2020-08-20,2
2020-08-21,1
2020-08-22,3
2020-08-23,21
2020-08-24,2
2020-08-25,4
2020-08-28,8
2020-09-01,14
2020-09-03,7
2020-09-08,1
2020-09-12,1
2020-09-13,12
2020-09-14,1
2020-09-15,2
2020-09-18,3
2020-09-20,1
2020-09-21,3
2020-09-22,1
2020-09-26,2
2020-09-27,1
2020-09-28,1
2020-09-29,6
2020-10-01,1
2020-10-02,2
2020-10-05,1
2020-10-07,6
2020-10-13,1
2020-10-14,4
2020-10-15,7
2020-10-20,2
2020-10-21,3
2020-10-23,1
2020-10-26,4
2020-10-27,1
2020-11-09,1
2020-11-19,1
2020-11-30,3
2020-12-01,2
