date,cases
2020-05-08,1
2020-05-09,1
2020-06-05,2
2020-06-06,2
2020-06-08,1
2020-06-10,6
2020-06-14,6
2020-06-19,4
2020-06-20,1
2020-06-22,1
2020-06-23,10
2020-06-24,3
2020-06-25,7
2020-06-27,1
2020-06-29,2
2020-07-01,9
2020-07-02,25
2020-07-04,3
2020-07-05,1
2020-07-08,1
2020-07-10,4
2020-07-16,9
2020-07-18,1
2020-07-21,1
2020-07-23,1
2020-07-24,5
2020-07-25,4
2020-07-27,1
2020-07-28,1
2020-07-31,1
2020-08-01,1
2020-08-02,1
2020-08-04,1
2020-08-06,1
2020-08-09,1
2020-08-10,1
2020-08-13,4
2020-08-28,1
2020-09-18,1
2020-09-21,1
2020-09-22,1
2020-10-12,1
2020-10-20,7
2020-10-23,2
2020-10-26,8
2020-10-29,1
2020-11-05,2
2020-11-10,2
2020-12-04,1
2020-12-06,1
2020-12-07,6
2020-12-10,1
2020-12-15,4
