date,cases
2020-05-20,1
2020-05-31,1
2020-06-13,6
2020-06-17,5
2020-06-19,6
2020-06-22,1
2020-06-29,25
2020-07-03,7
2020-07-06,4
2020-07-08,1
2020-07-11,1
2020-07-13,2
2020-07-14,3
2020-07-15,2
2020-07-16,2
2020-07-20,1
2020-07-21,7
2020-07-22,1
2020-07-23,1
2020-07-27,1
2020-07-29,6
2020-07-31,3
2020-08-01,2
2020-08-02,1
2020-08-06,2
2020-08-11,7
2020-08-13,2
2020-08-14,4
2020-08-15,37
2020-08-16,7
2020-08-17,3
2020-08-18,2
2020-08-19,5
2020-08-20,7
2020-08-21,10
2020-08-22,4
2020-08-23,3
2020-08-24,11
2020-08-25,5
2020-08-26,4
2020-08-27,11
2020-08-28,7
2020-08-29,2
2020-08-30,1
2020-08-31,13
2020-09-01,4
2020-09-02,8
2020-09-03,3
2020-09-04,15
2020-09-05,6
2020-09-06,3
2020-09-07,9
2020-09-08,11
2020-09-09,13
2020-09-10,12
2020-09-11,11
2020-09-12,2
2020-09-13,3
2020-09-14,3
2020-09-15,11
2020-09-16,5
2020-09-17,1
2020-09-18,7
2020-09-19,1
2020-09-20,1
2020-09-21,10
2020-09-22,17
2020-09-23,8
2020-09-24,3
2020-09-25,5
2020-09-26,2
2020-09-27,7
2020-09-28,19
2020-09-29,14
2020-09-30,6
2020-10-01,6
2020-10-02,13
2020-10-03,12
2020-10-04,7
2020-10-05,11
2020-10-06,8
2020-10-07,13
2020-10-08,17
2020-10-09,7
2020-10-10,5
2020-10-11,3
2020-10-12,6
2020-10-13,9
2020-10-14,5
2020-10-15,9
2020-10-16,10
2020-10-17,2
2020-10-18,1
2020-10-19,5
2020-10-20,10
2020-10-21,6
2020-10-22,4
2020-10-23,16
2020-10-24,8
2020-10-25,2
2020-10-26,8
2020-10-27,6
2020-10-28,10
2020-10-29,7
2020-10-30,10
2020-11-01,6
2020-11-02,1
2020-11-03,2
2020-11-04,6
2020-11-05,5
2020-11-06,8
2020-11-07,1
2020-11-08,4
2020-11-09,7
2020-11-10,7
2020-11-11,3
2020-11-12,5
2020-11-13,9
2020-11-14,2
2020-11-15,1
2020-11-16,4
2020-11-17,13
2020-11-18,3
2020-11-19,1
2020-11-20,5
2020-11-22,2
2020-11-23,14
2020-11-24,1
2020-11-25,4
2020-11-26,3
2020-11-27,5
2020-11-28,4
2020-11-30,4
2020-12-01,8
2020-12-02,4
2020-12-03,2
2020-12-04,3
2020-12-05,2
2020-12-06,1
2020-12-07,3
2020-12-09,3
2020-12-10,3
2020-12-11,4
2020-12-12,3
2020-12-14,1
2020-12-15,2
2020-12-16,4
2020-12-17,1
2020-12-18,4
2020-12-21,1
