date,cases
2020-04-20,2
2020-04-23,1
2020-04-25,1
2020-04-30,3
2020-05-12,1
2020-05-14,1
2020-05-19,1
2020-05-26,1
2020-05-28,2
2020-06-03,2
2020-06-04,1
2020-06-05,5
2020-06-06,1
2020-06-12,1
2020-06-17,2
2020-06-20,2
2020-06-22,22
2020-06-23,8
2020-06-24,3
2020-06-25,2
2020-06-26,10
2020-06-28,1
2020-06-29,1
2020-06-30,2
2020-07-01,2
2020-07-02,3
2020-07-03,7
2020-07-04,15
2020-07-05,21
2020-07-06,54
2020-07-07,22
2020-07-08,7
2020-07-09,4
2020-07-10,9
2020-07-11,1
2020-07-12,2
2020-07-13,5
2020-07-14,19
2020-07-15,11
2020-07-16,10
2020-07-17,15
2020-07-18,11
2020-07-19,3
2020-07-20,3
2020-07-21,5
2020-07-22,10
2020-07-23,7
2020-07-24,5
2020-07-25,2
2020-07-27,17
2020-07-28,24
2020-07-29,11
2020-07-30,10
2020-07-31,9
2020-08-01,18
2020-08-02,2
2020-08-03,11
2020-08-04,3
2020-08-05,9
2020-08-06,26
2020-08-07,5
2020-08-08,7
2020-08-09,1
2020-08-10,4
2020-08-11,4
2020-08-12,2
2020-08-13,17
2020-08-14,5
2020-08-15,8
2020-08-16,9
2020-08-17,9
2020-08-18,4
2020-08-19,3
2020-08-20,4
2020-08-21,2
2020-08-22,10
2020-08-23,2
2020-08-24,10
2020-08-25,6
2020-08-26,4
2020-08-27,4
2020-08-28,4
2020-08-29,5
2020-08-30,3
2020-08-31,4
2020-09-02,6
2020-09-04,3
2020-09-05,4
2020-09-07,1
2020-09-08,2
2020-09-10,2
2020-09-11,3
2020-09-12,3
2020-09-13,2
2020-09-14,1
2020-09-16,5
2020-09-17,3
2020-09-18,10
2020-09-19,3
2020-09-22,2
2020-09-23,1
2020-09-24,3
2020-09-25,9
2020-09-26,2
2020-09-28,3
2020-09-30,2
2020-10-01,2
2020-10-02,4
2020-10-03,3
2020-10-05,3
2020-10-06,1
2020-10-07,2
2020-10-08,3
2020-10-09,5
2020-10-10,3
2020-10-11,3
2020-10-12,4
2020-10-13,3
2020-10-14,1
2020-10-15,3
2020-10-16,4
2020-10-17,1
2020-10-18,3
2020-10-20,3
2020-10-21,2
2020-10-22,3
2020-10-23,1
2020-10-24,3
2020-10-25,9
2020-10-26,3
2020-10-27,1
2020-10-29,2
2020-10-30,11
2020-10-31,2
2020-11-01,1
2020-11-02,5
2020-11-03,1
2020-11-04,3
2020-11-05,4
2020-11-06,2
2020-11-07,4
2020-11-08,7
2020-11-09,7
2020-11-10,6
2020-11-11,1
2020-11-12,19
2020-11-13,4
2020-11-14,1
2020-11-15,2
2020-11-16,2
2020-11-18,4
2020-11-19,5
2020-11-20,2
2020-11-21,4
2020-11-23,15
2020-11-24,6
2020-11-25,1
2020-11-26,14
2020-11-27,1
2020-11-28,1
2020-11-29,1
2020-11-30,1
2020-12-01,3
2020-12-02,3
2020-12-04,2
2020-12-05,1
2020-12-08,2
