date,cases
2020-03-28,1
2020-04-06,1
2020-05-02,1
2020-05-03,1
2020-05-06,1
2020-05-20,1
2020-05-22,3
2020-05-24,3
2020-05-25,1
2020-05-26,1
2020-05-27,1
2020-05-28,5
2020-05-29,3
2020-05-30,1
2020-05-31,3
2020-06-01,9
2020-06-02,29
2020-06-03,8
2020-06-04,25
2020-06-05,4
2020-06-06,15
2020-06-07,19
2020-06-08,23
2020-06-09,22
2020-06-10,40
2020-06-11,24
2020-06-12,42
2020-06-13,73
2020-06-14,35
2020-06-15,25
2020-06-16,58
2020-06-17,91
2020-06-18,67
2020-06-19,92
2020-06-20,131
2020-06-21,58
2020-06-22,78
2020-06-23,117
2020-06-24,125
2020-06-25,97
2020-06-26,84
2020-06-27,87
2020-06-28,70
2020-06-29,133
2020-06-30,137
2020-07-01,100
2020-07-02,141
2020-07-03,189
2020-07-04,199
2020-07-05,91
2020-07-06,201
2020-07-07,150
2020-07-08,190
2020-07-09,123
2020-07-10,81
2020-07-11,118
2020-07-12,73
2020-07-13,136
2020-07-14,102
2020-07-15,88
2020-07-16,130
2020-07-17,131
2020-07-18,119
2020-07-19,47
2020-07-20,68
2020-07-21,93
2020-07-22,110
2020-07-23,155
2020-07-24,111
2020-07-25,145
2020-07-26,84
2020-07-27,115
2020-07-28,104
2020-07-29,142
2020-07-30,114
2020-07-31,212
2020-08-01,135
2020-08-02,49
2020-08-03,175
2020-08-04,104
2020-08-05,92
2020-08-06,269
2020-08-07,148
2020-08-08,111
2020-08-09,79
2020-08-10,66
2020-08-11,99
2020-08-12,57
2020-08-13,122
2020-08-14,44
2020-08-15,209
2020-08-16,76
2020-08-17,40
2020-08-18,43
2020-08-19,53
2020-08-20,47
2020-08-21,82
2020-08-22,103
2020-08-23,29
2020-08-24,75
2020-08-25,80
2020-08-26,44
2020-08-27,71
2020-08-28,43
2020-08-29,19
2020-08-30,99
2020-08-31,51
2020-09-01,65
2020-09-02,11
2020-09-03,32
2020-09-04,42
2020-09-05,39
2020-09-06,7
2020-09-07,22
2020-09-08,17
2020-09-09,41
2020-09-10,56
2020-09-11,27
2020-09-12,32
2020-09-13,13
2020-09-14,11
2020-09-15,27
2020-09-16,26
2020-09-17,17
2020-09-18,17
2020-09-19,8
2020-09-20,12
2020-09-21,15
2020-09-22,36
2020-09-23,17
2020-09-24,18
2020-09-25,16
2020-09-26,20
2020-09-27,25
2020-09-28,43
2020-09-29,23
2020-09-30,23
2020-10-01,8
2020-10-02,23
2020-10-03,40
2020-10-04,19
2020-10-05,14
2020-10-06,21
2020-10-07,18
2020-10-08,17
2020-10-09,10
2020-10-10,17
2020-10-11,10
2020-10-12,3
2020-10-13,11
2020-10-14,8
2020-10-15,13
2020-10-16,8
2020-10-17,8
2020-10-18,11
2020-10-19,20
2020-10-20,39
2020-10-21,14
2020-10-22,6
2020-10-23,20
2020-10-24,4
2020-10-25,153
2020-10-26,14
2020-10-27,13
2020-10-28,5
2020-10-29,19
2020-10-30,11
2020-10-31,14
2020-11-01,17
2020-11-02,9
2020-11-03,30
2020-11-04,19
2020-11-05,16
2020-11-06,20
2020-11-07,10
2020-11-08,20
2020-11-09,19
2020-11-10,12
2020-11-11,15
2020-11-12,17
2020-11-13,11
2020-11-14,22
2020-11-15,16
2020-11-16,28
2020-11-17,19
2020-11-18,5
2020-11-19,13
2020-11-20,19
2020-11-21,9
2020-11-22,6
2020-11-23,19
2020-11-24,20
2020-11-25,7
2020-11-26,23
2020-11-27,9
2020-11-28,10
2020-11-29,4
2020-11-30,9
2020-12-01,7
2020-12-02,10
2020-12-03,8
2020-12-04,7
2020-12-05,3
2020-12-06,2
2020-12-07,5
2020-12-09,3
2020-12-10,2
