date,cases
2020-04-01,1
2020-04-02,2
2020-06-09,1
2020-07-18,1
2020-07-23,1
2020-08-01,1
2020-08-02,3
2020-08-03,1
2020-08-05,1
2020-08-08,4
2020-08-10,1
2020-08-12,1
2020-08-15,1
2020-08-16,2
2020-08-17,1
2020-08-18,1
2020-08-20,1
2020-08-23,1
2020-08-24,3
2020-08-25,4
2020-08-28,2
2020-08-29,1
2020-09-04,2
2020-09-07,1
2020-09-14,1
2020-09-19,1
2020-09-21,1
2020-10-02,3
2020-10-03,1
2020-10-15,1
2020-10-18,1
2020-10-19,1
2020-10-22,1
2020-10-26,1
2020-10-27,1
2020-11-02,2
2020-11-03,1
2020-11-04,4
2020-11-06,2
2020-11-08,1
2020-11-11,1
2020-11-13,1
2020-11-20,1
