date,cases
2020-05-13,1
2020-05-15,1
2020-05-18,1
2020-05-19,1
2020-05-22,1
2020-05-24,1
2020-05-27,2
2020-05-31,1
2020-06-01,2
2020-06-04,2
2020-06-13,1
2020-06-16,1
2020-06-23,2
2020-06-24,1
2020-06-25,3
2020-06-26,3
2020-06-27,2
2020-06-30,5
2020-07-01,3
2020-07-03,2
2020-07-05,2
2020-07-06,3
2020-07-08,5
2020-07-10,5
2020-07-11,2
2020-07-12,3
2020-07-13,3
2020-07-15,2
2020-07-16,3
2020-07-17,1
2020-07-18,6
2020-07-20,4
2020-07-21,5
2020-07-22,3
2020-07-23,2
2020-07-24,2
2020-07-25,2
2020-07-27,1
2020-07-28,2
2020-07-29,3
2020-07-30,2
2020-07-31,2
2020-08-01,1
2020-08-02,2
2020-08-03,4
2020-08-04,6
2020-08-05,2
2020-08-06,3
2020-08-07,2
2020-08-08,1
2020-08-09,1
2020-08-10,3
2020-08-11,6
2020-08-12,1
2020-08-13,6
2020-08-14,2
2020-08-17,2
2020-08-18,3
2020-08-19,3
2020-08-21,3
2020-08-22,3
2020-08-23,3
2020-08-24,6
2020-08-25,1
2020-08-26,1
2020-08-27,4
2020-08-28,2
2020-08-29,2
2020-08-30,2
2020-08-31,3
2020-09-01,4
2020-09-02,2
2020-09-03,2
2020-09-04,3
2020-09-05,3
2020-09-07,2
2020-09-08,2
2020-09-09,2
2020-09-10,2
2020-09-11,1
2020-09-12,1
2020-09-13,9
2020-09-14,5
2020-09-15,4
2020-09-16,4
2020-09-18,5
2020-09-19,3
2020-09-20,2
2020-09-21,3
2020-09-23,1
2020-09-24,3
2020-09-25,2
2020-09-27,2
2020-09-28,2
2020-09-29,15
2020-09-30,2
2020-10-01,2
2020-10-02,2
2020-10-05,1
2020-10-06,1
2020-10-07,2
2020-10-08,6
2020-10-09,1
2020-10-12,2
2020-10-13,3
2020-10-14,2
2020-10-15,3
2020-10-16,2
2020-10-17,4
2020-10-19,6
2020-10-20,2
2020-10-21,6
2020-10-22,1
2020-10-23,2
2020-10-24,4
2020-10-25,2
2020-10-26,3
2020-10-27,1
2020-10-28,4
2020-10-29,2
2020-10-30,1
2020-10-31,1
2020-11-03,5
2020-11-04,2
2020-11-05,1
2020-11-06,4
2020-11-07,1
2020-11-08,2
2020-11-09,8
2020-11-10,5
2020-11-11,2
2020-11-19,3
2020-11-20,2
2020-11-21,2
2020-11-24,1
2020-11-25,2
2020-11-27,1
2020-11-28,1
