date,cases
2020-06-15,1
2020-06-19,1
2020-06-25,3
2020-06-26,1
2020-07-10,1
2020-07-15,3
2020-07-21,1
2020-07-22,1
2020-07-26,1
2020-07-28,1
2020-07-29,1
2020-07-30,3
2020-07-31,1
2020-08-03,2
2020-08-04,2
2020-08-05,4
2020-08-10,2
2020-08-11,5
2020-08-12,4
2020-08-13,1
2020-08-15,1
2020-08-16,1
2020-08-17,2
2020-08-18,3
2020-08-19,1
2020-08-20,3
2020-08-24,3
2020-08-25,3
2020-08-26,2
2020-08-27,5
2020-08-28,4
2020-08-31,5
2020-09-01,2
2020-09-02,3
2020-09-06,1
2020-09-07,2
2020-09-08,1
2020-09-09,5
2020-09-10,1
2020-09-11,3
2020-09-12,1
2020-09-13,1
2020-09-14,10
2020-09-16,2
2020-09-18,7
2020-09-19,3
2020-09-20,2
2020-09-21,4
2020-09-22,4
2020-09-23,5
2020-09-24,1
2020-09-25,7
2020-09-26,3
2020-09-27,2
2020-09-28,12
2020-09-29,7
2020-09-30,1
2020-10-01,3
2020-10-02,6
2020-10-03,10
2020-10-04,4
2020-10-05,24
2020-10-06,14
2020-10-07,7
2020-10-08,10
2020-10-09,7
2020-10-10,6
2020-10-12,2
2020-10-13,26
2020-10-14,3
2020-10-15,5
2020-10-16,6
2020-10-17,4
2020-10-18,4
2020-10-19,22
2020-10-20,4
2020-10-21,7
2020-10-22,4
2020-10-23,5
2020-10-24,6
2020-10-26,2
2020-10-27,7
2020-10-28,1
2020-10-29,4
2020-10-30,1
2020-10-31,1
