date,cases
2020-07-01,1
2020-07-30,1
2020-08-15,1
2020-08-18,2
2020-08-21,2
2020-08-22,4
2020-08-23,6
2020-08-24,1
2020-08-29,1
2020-09-01,1
2020-09-03,1
2020-09-04,6
2020-09-05,1
2020-09-07,1
2020-09-08,2
2020-09-13,3
2020-09-17,1
2020-09-22,2
2020-09-23,1
2020-09-24,3
2020-09-26,1
2020-09-28,15
2020-09-29,1
2020-09-30,1
2020-10-05,13
2020-10-06,5
2020-10-07,1
2020-10-08,7
2020-10-13,1
2020-10-15,1
2020-10-19,1
2020-10-21,1
2020-10-25,1
2020-10-26,34
2020-10-30,5
2020-10-31,2
2020-11-02,2
2020-11-06,2
2020-11-09,1
2020-11-10,1
2020-11-15,1
2020-11-16,1
2020-11-19,3
2020-11-21,1
2020-11-24,2
2020-11-25,1
