date,cases
2020-05-30,3
2020-05-31,1
2020-06-06,1
2020-06-25,5
2020-06-27,1
2020-07-16,1
2020-07-19,1
2020-08-11,1
2020-08-12,1
2020-08-13,2
2020-08-19,1
2020-08-20,1
2020-08-27,1
2020-09-08,1
2020-09-11,1
2020-09-18,1
2020-09-19,1
2020-09-22,1
2020-09-23,1
2020-09-24,2
2020-09-25,1
2020-09-26,1
2020-09-28,1
2020-10-01,2
2020-10-06,2
2020-10-08,1
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-27,1
2020-10-29,1
2020-11-01,2
2020-11-02,1
2020-11-05,2
2020-11-08,2
2020-11-09,1
2020-11-10,1
2020-11-11,3
2020-11-13,1
2020-11-17,1
