date,cases
2020-06-04,2
2020-06-16,3
2020-06-27,2
2020-06-29,1
2020-07-01,1
2020-07-05,1
2020-07-06,3
2020-07-08,1
2020-07-10,3
2020-07-11,1
2020-07-14,3
2020-07-15,2
2020-07-18,1
2020-07-21,1
2020-07-22,3
2020-07-23,2
2020-07-24,4
2020-07-25,1
2020-07-26,2
2020-07-27,7
2020-07-28,11
2020-07-29,21
2020-07-30,2
2020-07-31,13
2020-08-01,1
2020-08-02,4
2020-08-06,2
2020-08-07,4
2020-08-08,3
2020-08-09,2
2020-08-13,5
2020-08-14,3
2020-08-15,4
2020-08-16,1
2020-08-17,1
2020-08-22,1
2020-08-25,1
2020-08-31,3
2020-09-01,1
2020-09-02,2
2020-09-03,3
2020-09-05,1
2020-09-10,1
2020-09-13,2
2020-09-21,1
2020-09-23,2
2020-09-24,2
2020-09-26,1
2020-09-28,1
2020-10-13,1
2020-10-17,1
2020-10-18,3
2020-10-19,1
2020-10-25,3
2020-10-29,2
2020-11-02,2
2020-11-03,1
2020-11-06,1
2020-11-17,1
2020-11-24,1
2020-12-02,1
