date,cases
2020-03-22,1
2020-07-22,1
2020-07-24,3
2020-07-28,1
2020-08-05,1
2020-08-13,1
2020-08-14,1
2020-08-26,1
2020-08-27,2
2020-09-10,1
2020-09-18,1
2020-09-19,1
2020-09-20,1
2020-09-24,1
2020-09-28,2
2020-09-29,3
2020-09-30,1
2020-10-02,1
2020-10-05,2
2020-10-06,2
2020-10-07,1
2020-10-19,1
2020-10-24,1
2020-11-05,4
2020-11-06,1
2020-11-08,2
2020-11-09,3
2020-11-11,1
2020-11-13,1
2020-11-15,1
2020-11-17,2
2020-11-18,2
2020-11-20,2
2020-11-25,3
2020-11-26,1
2020-12-10,1
2020-12-11,1
2020-12-15,1
2020-12-18,1
